Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/921772/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1975
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/753175/versions,Inger Lise,https://secondhandsongs.com/artist/54795,Norway,1975
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/1384411/versions,"Mario Cavallero, son orchestre et ses chanteurs",https://secondhandsongs.com/artist/154958,France,1975
Salute to ABBA,https://secondhandsongs.com/performance/367945/versions,Norman Gunston,https://secondhandsongs.com/artist/87458,Australia,1976
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/544511/versions,The Continental Group,https://secondhandsongs.com/artist/108370,Italy,1976
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/74730/versions,Nashville Train,https://secondhandsongs.com/artist/31456,Sweden,1977
"I Do, I Do, I Do...",https://secondhandsongs.com/performance/1065639/versions,Emilio [ES],https://secondhandsongs.com/artist/175102,Spain,1978
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/112016/versions,"Hilton McRae, Siobhan McCarthy and Company",https://secondhandsongs.com/artist/41244+41249,Ireland,1999
Tush / I Do I Do I Do I Do I Do,https://secondhandsongs.com/performance/75167/versions,The Black Sweden,https://secondhandsongs.com/artist/31588,Sweden,2000
I Do I Do I Do,https://secondhandsongs.com/performance/718053/versions,The Monks of Moramanga,https://secondhandsongs.com/artist/144211,United Kingdom,2003
I Do,https://secondhandsongs.com/performance/222510/versions,Wing,https://secondhandsongs.com/artist/62776,New Zealand,2006
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/1237269/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2006
I Do I Do I Do I Do I Do,https://secondhandsongs.com/performance/1296542/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/614460/versions,Judith Nijland,https://secondhandsongs.com/artist/118919,Netherlands,2016
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/516134/versions,Ingmar Nordströms,https://secondhandsongs.com/artist/63934,Sweden,1975
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/submission/248454,Max Greger,https://secondhandsongs.com/artist/63767,Germany,1975
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/88594/versions,Moog,https://secondhandsongs.com/artist/184905,Australia,1976
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/626245/versions,The Alan Tew Orchestra,https://secondhandsongs.com/artist/16341,United Kingdom,1977
"I Do, I Do, I Do, I Do - Mamma Mia - Fernando - Honey, Honey - So Long - Waterloo - Nina, Pretty Ba…",https://secondhandsongs.com/performance/224158/versions,Alojz Bouda,https://secondhandsongs.com/artist/63073,Slovakia,1977
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/1038950/versions,The Session Men(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
"I Do, I Do, I Do, I Do, I Do",https://secondhandsongs.com/performance/112933/versions,Franck Pourcel,https://secondhandsongs.com/artist/23317,France,1978
"I Do, I Do, I Do",https://secondhandsongs.com/submission/204209,Gunter Noris and His Dance Band (Günter Noris),https://secondhandsongs.com/artist/64285,Germany,1978
