Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Mamma mia,https://secondhandsongs.com/performance/316827/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1976
Salute to ABBA,https://secondhandsongs.com/performance/367945/versions,Norman Gunston,https://secondhandsongs.com/artist/87458,Australia,1976
Mamma mia,https://secondhandsongs.com/performance/544504/versions,The Continental Group,https://secondhandsongs.com/artist/108370,Italy,1976
Mamma mia,https://secondhandsongs.com/performance/608731/versions,Anita Jensen,https://secondhandsongs.com/artist/117952,Norway,1976
Mamma mia,https://secondhandsongs.com/performance/991503/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1976
Mamma mia,https://secondhandsongs.com/performance/1381492/versions,"Christopher John, son orchestre et ses chanteurs [MFP]",https://secondhandsongs.com/artist/107640,United Kingdom,1976
Mamma mia,https://secondhandsongs.com/performance/1038951/versions,The Session Men(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
Mamma mia,https://secondhandsongs.com/performance/972050/versions,T.B.C.V.,https://secondhandsongs.com/artist/165627,Germany,1977
Mamma mia,https://secondhandsongs.com/performance/1043432/versions,The Carnabees ‎,https://secondhandsongs.com/artist/172492,Germany,1979
"Abba Medley: Gimme! Gimme! Gimme! (A Man After Midnight) / Knowing Me, Knowing You / Super Trouper …",https://secondhandsongs.com/performance/595811/versions,Mini★Pops,https://secondhandsongs.com/artist/115940,United Kingdom,1981
Mamma mia,https://secondhandsongs.com/performance/773184/versions,Röövel Ööbik,https://secondhandsongs.com/artist/140354,Estonia,1990
ABBA Medley,https://secondhandsongs.com/performance/1140754/versions,Bhonus,https://secondhandsongs.com/artist/180434,Sweden,1992
Mamma mia,https://secondhandsongs.com/performance/549878/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
Mamma mia,https://secondhandsongs.com/performance/53862/versions,3Ds,https://secondhandsongs.com/artist/24395,New Zealand,1995
ABBA Medley,https://secondhandsongs.com/performance/107369/versions,Finn Nørbygaard & Jette Torp,https://secondhandsongs.com/artist/38573+40187,Denmark,1995
