Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
S.O.S.,https://secondhandsongs.com/performance/316759/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1975
S.O.S.,https://secondhandsongs.com/performance/865821/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1975
S.O.S.,https://secondhandsongs.com/performance/952918/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1975
S.O.S.,https://secondhandsongs.com/performance/180442/versions,Tracy [Huang],https://secondhandsongs.com/artist/45454,Taiwan,1976
SOS,https://secondhandsongs.com/performance/544509/versions,The Continental Group,https://secondhandsongs.com/artist/108370,Italy,1976
S.O.S.,https://secondhandsongs.com/performance/1038958/versions,The Session Men(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
SOS,https://secondhandsongs.com/performance/1043444/versions,The Carnabees ‎,https://secondhandsongs.com/artist/172492,Germany,1979
Stars on 45 - Voulez-Vous - S.O.S. - Bang a Boomerang - Money Money - Knowing Me Knowing You - Fern…,https://secondhandsongs.com/performance/600132/versions,Stars on 45,https://secondhandsongs.com/artist/39612,Netherlands,1981
Stars on 45 Vol.ll,https://secondhandsongs.com/performance/852892/versions,Sound Sensation(Chevron Studio Artists),https://secondhandsongs.com/artist/142016,United Kingdom,1981
"Abba Medley: Gimme! Gimme! Gimme! (A Man After Midnight) / Knowing Me, Knowing You / Super Trouper …",https://secondhandsongs.com/performance/595811/versions,Mini★Pops,https://secondhandsongs.com/artist/115940,United Kingdom,1981
S.O.S,https://secondhandsongs.com/performance/1330214/versions,Frank Sidebottom,https://secondhandsongs.com/artist/18176,United Kingdom,1988
S.O.S.,https://secondhandsongs.com/performance/75842/versions,Celebrity Skin,https://secondhandsongs.com/artist/31810,United States,1988
S.O.S.,https://secondhandsongs.com/performance/99266/versions,Men Without Hats,https://secondhandsongs.com/artist/5150,Canada,1989
SOS,https://secondhandsongs.com/performance/687962/versions,Master Fatman,https://secondhandsongs.com/artist/128389,Denmark,1991
S.O.S,https://secondhandsongs.com/performance/31976/versions,Erasure,https://secondhandsongs.com/artist/440,United Kingdom,1992
SOS,https://secondhandsongs.com/performance/309144/versions,Stonecake,https://secondhandsongs.com/artist/51149,Sweden,1992
S.O.S.,https://secondhandsongs.com/performance/233371/versions,The Monsters,https://secondhandsongs.com/artist/64688,Switzerland,1992
S.O.S.,https://secondhandsongs.com/performance/549871/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
SOS,https://secondhandsongs.com/performance/23751/versions,Israelvis,https://secondhandsongs.com/artist/13947,Norway,1995
SOS,https://secondhandsongs.com/performance/53869/versions,Able Tasmans,https://secondhandsongs.com/artist/24405,New Zealand,1995
S.O.S.,https://secondhandsongs.com/performance/102654/versions,Peter Cetera featuring Ronna Reeves,https://secondhandsongs.com/artist/1579+49942,United States,1995
S.O.S.,https://secondhandsongs.com/performance/344051/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,1996
S.O.S.,https://secondhandsongs.com/performance/481989/versions,The Levellers,https://secondhandsongs.com/artist/5930,United Kingdom,1996
S.O.S.,https://secondhandsongs.com/performance/610359/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1996
S.O.S.,https://secondhandsongs.com/performance/84934/versions,E-Rotic,https://secondhandsongs.com/artist/34580,Germany,1997
S.O.S.,https://secondhandsongs.com/performance/297484/versions,Wonderprick,https://secondhandsongs.com/artist/76010,Germany,1997
S.O.S.,https://secondhandsongs.com/performance/216/versions,A*Teens,https://secondhandsongs.com/artist/120,Sweden,1999
S.O.S.,https://secondhandsongs.com/performance/112023/versions,Siobhan McCarthy and Hilton McRae,https://secondhandsongs.com/artist/41244+41249,Ireland,1999
S.O.S.,https://secondhandsongs.com/performance/500727/versions,Gabba,https://secondhandsongs.com/artist/10537,Sweden,1999
S.O.S.,https://secondhandsongs.com/performance/501176/versions,Angeleyes,https://secondhandsongs.com/artist/102314,Sweden,1999
S.O.S.,https://secondhandsongs.com/performance/687939/versions,The Element [DK],https://secondhandsongs.com/artist/128377,Denmark,2000
God of Thunder / S.O.S.,https://secondhandsongs.com/performance/75172/versions,The Black Sweden,https://secondhandsongs.com/artist/31588,Sweden,2000
S.O.S.,https://secondhandsongs.com/performance/53056/versions,Mad Caddies,https://secondhandsongs.com/artist/24017,United States,2000
ABBA Medley,https://secondhandsongs.com/performance/1407839/versions,Patricia Lewis,https://secondhandsongs.com/artist/209851,South Africa,2000
S.O.S.,https://secondhandsongs.com/performance/75326/versions,Tonic,https://secondhandsongs.com/artist/21899,United States,2000
S.O.S.,https://secondhandsongs.com/performance/114628/versions,At Vance,https://secondhandsongs.com/artist/17090,Germany,2000
S.O.S.,https://secondhandsongs.com/performance/798103/versions,Kikka [IT],https://secondhandsongs.com/artist/130856,Italy,2000
S.O.S.,https://secondhandsongs.com/performance/1516280/versions,Counterparts [US],https://secondhandsongs.com/artist/58033,United States,2000
S.O.S.,https://secondhandsongs.com/performance/31912/versions,Paradox,https://secondhandsongs.com/artist/15644,Germany,2001
S.O.S.,https://secondhandsongs.com/performance/721693/versions,"Radha Kali, Marianne Filali",https://secondhandsongs.com/artist/133259+133260,Morocco,2001
S.O.S.,https://secondhandsongs.com/performance/625528/versions,The Meat Purveyors,https://secondhandsongs.com/artist/44180,United States,2002
ABBA Medley,https://secondhandsongs.com/performance/6892/versions,Dana Winner,https://secondhandsongs.com/artist/3013,Belgium,2002
