Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Super Trouper,https://secondhandsongs.com/performance/378137/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1980
Super Trouper,https://secondhandsongs.com/performance/1526814/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1980
Stars on 45 - Voulez-Vous - S.O.S. - Bang a Boomerang - Money Money - Knowing Me Knowing You - Fern…,https://secondhandsongs.com/performance/600132/versions,Stars on 45,https://secondhandsongs.com/artist/39612,Netherlands,1981
Stars on 45 Vol.ll,https://secondhandsongs.com/performance/852892/versions,Sound Sensation(Chevron Studio Artists),https://secondhandsongs.com/artist/142016,United Kingdom,1981
"Abba Medley: Gimme! Gimme! Gimme! (A Man After Midnight) / Knowing Me, Knowing You / Super Trouper …",https://secondhandsongs.com/performance/595811/versions,Mini★Pops,https://secondhandsongs.com/artist/115940,United Kingdom,1981
Super Trouper,https://secondhandsongs.com/performance/778842/versions,"Christopher John, son orchestre et ses chanteurs [MFP]",https://secondhandsongs.com/artist/107640,United Kingdom,1981
Super Trouper,https://secondhandsongs.com/performance/885214/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1981
Super Trouper,https://secondhandsongs.com/performance/1281878/versions,"Mario Cavallero, son orchestre et ses chanteurs",https://secondhandsongs.com/artist/154958,France,1981
"Every Breath You Take / You're My Heart, You're My Soul / Super Trouper",https://secondhandsongs.com/performance/219349/versions,James Last,https://secondhandsongs.com/artist/7540,Germany,1985
"Chiquitita - Voulez-vous - S.O.S. - Bumerang - Money Money - Knowing Me, Knowing You - Fernando - T…",https://secondhandsongs.com/performance/794198/versions,G.E.S.,https://secondhandsongs.com/artist/143412,Germany,1987
Gimme! Gimme! Gimme!/Super Trouper,https://secondhandsongs.com/performance/549867/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
Super Trouper,https://secondhandsongs.com/performance/53865/versions,Headless Chickens,https://secondhandsongs.com/artist/24400,New Zealand,1995
Super Trooper,https://secondhandsongs.com/performance/799655/versions,Wonderprick,https://secondhandsongs.com/artist/76010,Germany,1995
Opening Medley [Take a Chance on Me - Super Trouper - Mamma mia],https://secondhandsongs.com/performance/1088486/versions,San Francisco Gay Men's Chorus with Nota Bene,https://secondhandsongs.com/artist/126580,United States,1997
Super Trouper,https://secondhandsongs.com/performance/191/versions,A*Teens,https://secondhandsongs.com/artist/120,Sweden,1999
