Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
The Winner Takes It All,https://secondhandsongs.com/performance/377858/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1980
The Winner Takes It All,https://secondhandsongs.com/performance/1526736/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1980
The Winner Takes It All,https://secondhandsongs.com/performance/807978/versions,Brødrene Dal,https://secondhandsongs.com/artist/105621,Norway,1980
The Winner Takes It All,https://secondhandsongs.com/performance/884894/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1980
Stars on 45 - Voulez-Vous - S.O.S. - Bang a Boomerang - Money Money - Knowing Me Knowing You - Fern…,https://secondhandsongs.com/performance/600132/versions,Stars on 45,https://secondhandsongs.com/artist/39612,Netherlands,1981
Stars on 45 Vol.ll,https://secondhandsongs.com/performance/852892/versions,Sound Sensation(Chevron Studio Artists),https://secondhandsongs.com/artist/142016,United Kingdom,1981
The Winner Takes It All,https://secondhandsongs.com/performance/386042/versions,Kris Morgan,https://secondhandsongs.com/artist/40712,Germany,1981
The Winner Takes It All,https://secondhandsongs.com/performance/949480/versions,Lonzo & Oscar,https://secondhandsongs.com/artist/55982,United States,1981
"Chiquitita - Voulez-vous - S.O.S. - Bumerang - Money Money - Knowing Me, Knowing You - Fernando - T…",https://secondhandsongs.com/performance/794198/versions,G.E.S.,https://secondhandsongs.com/artist/143412,Germany,1987
The Winner Takes It All,https://secondhandsongs.com/performance/309146/versions,Freda',https://secondhandsongs.com/artist/42595,Sweden,1992
Winner Takes It All,https://secondhandsongs.com/performance/609993/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1992
The Winner Takes It All '92,https://secondhandsongs.com/performance/807994/versions,Axel F.,https://secondhandsongs.com/artist/145308,Germany,1992
The Winner Takes It All,https://secondhandsongs.com/performance/1336061/versions,Lee Towers,https://secondhandsongs.com/artist/26440,Netherlands,1992
The Winner Takes It All,https://secondhandsongs.com/performance/124201/versions,Beverley Craven,https://secondhandsongs.com/artist/2805,United Kingdom,1993
The Winner Takes It All,https://secondhandsongs.com/performance/1222557/versions,André Schwartz,https://secondhandsongs.com/artist/190549,South Africa,1994
The Winner Takes It All,https://secondhandsongs.com/performance/344037/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,1996
The Winner Takes It All,https://secondhandsongs.com/performance/651232/versions,Trombo Combo,https://secondhandsongs.com/artist/123928,Sweden,1996
The Winner Takes It All,https://secondhandsongs.com/performance/84926/versions,E-Rotic,https://secondhandsongs.com/artist/34580,Germany,1997
"Breakup Suite [The Winner Takes It All - Knowning You, Knowing Me - Angeleyes]",https://secondhandsongs.com/performance/1088497/versions,San Francisco Gay Men's Chorus,https://secondhandsongs.com/artist/126580,United States,1997
The Winner Takes It All,https://secondhandsongs.com/performance/1388149/versions,Greenleafs of Washington University,https://secondhandsongs.com/artist/208614,United States,1997
The Winner Takes It All,https://secondhandsongs.com/performance/549888/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1998
The Winner Takes It All,https://secondhandsongs.com/performance/687969/versions,Tommy Körberg,https://secondhandsongs.com/artist/37393,Sweden,1998
The Winner Takes It All,https://secondhandsongs.com/performance/112018/versions,Siobhan McCarthy,https://secondhandsongs.com/artist/41244,Ireland,1999
The Winner Takes It All,https://secondhandsongs.com/performance/4007/versions,The Corrs,https://secondhandsongs.com/artist/1948,Ireland,1999
The Winner Takes It All,https://secondhandsongs.com/performance/501185/versions,Angeleyes,https://secondhandsongs.com/artist/102314,Sweden,1999
Winner Takes It All,https://secondhandsongs.com/performance/1220640/versions,Karen Noble,https://secondhandsongs.com/artist/77678,United Kingdom,1999
The Winner Takes It All,https://secondhandsongs.com/performance/595894/versions,The BB Band,https://secondhandsongs.com/artist/1253,Belgium,2000
The Winner Takes It All,https://secondhandsongs.com/performance/687934/versions,Crown Twister(Cleopatra Studio Artists),https://secondhandsongs.com/artist/85808,United States,2000
The Winner Takes It All,https://secondhandsongs.com/performance/75170/versions,The Black Sweden,https://secondhandsongs.com/artist/31588,Sweden,2000
The Winner Takes It All - I Hear a Symphony,https://secondhandsongs.com/performance/526816/versions,The Lounge-O-Leers,https://secondhandsongs.com/artist/99921,United States,2000
The Winner Takes It All,https://secondhandsongs.com/performance/721701/versions,"Mitchell Sigman, Deena Noroian",https://secondhandsongs.com/artist/10433+133264,United States,2001
The Winner Takes It All,https://secondhandsongs.com/performance/124202/versions,At Vance,https://secondhandsongs.com/artist/17090,Germany,2001
The Winner Takes It All,https://secondhandsongs.com/performance/157837/versions,Hannah Fury,https://secondhandsongs.com/artist/50501,United States,2001
The Winner Takes It All,https://secondhandsongs.com/performance/6811/versions,Dana Winner,https://secondhandsongs.com/artist/3013,Belgium,2001
The Winner Takes It All,https://secondhandsongs.com/performance/425503/versions,Michael Ball,https://secondhandsongs.com/artist/419,United Kingdom,2001
The Winner Takes It All,https://secondhandsongs.com/performance/826293/versions,Louise Pitre,https://secondhandsongs.com/artist/101897,Canada,2001
The Winner Takes It All,https://secondhandsongs.com/performance/493635/versions,Queen of Japan,https://secondhandsongs.com/artist/6472,Germany,2002
The Winner Takes It All,https://secondhandsongs.com/performance/1387445/versions,Angelika Milster & The Berlin International Orchestra,https://secondhandsongs.com/artist/43037,Germany,2002
The Winner Takes It All,https://secondhandsongs.com/performance/87036/versions,Martine McCutcheon,https://secondhandsongs.com/artist/1955,United Kingdom,2002
The Winner Takes It All,https://secondhandsongs.com/performance/73774/versions,Randal Grave,https://secondhandsongs.com/artist/31151,Brazil,2002
The Winner Takes It All,https://secondhandsongs.com/performance/153727/versions,Love Hunters,https://secondhandsongs.com/artist/49662,Serbia,2002
The Winner Takes It All,https://secondhandsongs.com/performance/573322/versions,Jan Gelberman,https://secondhandsongs.com/artist/112850,United States,2002
The Winner Takes It All,https://secondhandsongs.com/performance/705967/versions,Wildside,https://secondhandsongs.com/artist/266,Italy,2003
The Winner Takes It All,https://secondhandsongs.com/performance/718055/versions,The Monks of Moramanga,https://secondhandsongs.com/artist/144211,United Kingdom,2003
Winner Takes It All,https://secondhandsongs.com/performance/955945/versions,Dave Willetts,https://secondhandsongs.com/artist/74864,United Kingdom,2003
Winner Takes It All,https://secondhandsongs.com/performance/500677/versions,Bernie Nolan,https://secondhandsongs.com/artist/21806,Ireland,2004
The Winner Takes It All,https://secondhandsongs.com/performance/725145/versions,Pamela McNeill,https://secondhandsongs.com/artist/133807,United States,2004
The Winner Takes It All,https://secondhandsongs.com/performance/207360/versions,Samantha Fox,https://secondhandsongs.com/artist/9900,United Kingdom,2005
The Winner Takes It All,https://secondhandsongs.com/performance/159219/versions,Laura Branigan,https://secondhandsongs.com/artist/2851,United States,2005
The Winner Takes It All,https://secondhandsongs.com/performance/898495/versions,Cídia e Dan,https://secondhandsongs.com/artist/32255,Brazil,2006
The Winner Takes It All,https://secondhandsongs.com/performance/77417/versions,Anne Sofie von Otter,https://secondhandsongs.com/artist/14331,Sweden,2006
The Winner Takes It All,https://secondhandsongs.com/performance/433944/versions,Rajaton with Lahti Symphony Orchestra,https://secondhandsongs.com/artist/57208+57209,Finland,2006
The Winner Takes It All,https://secondhandsongs.com/performance/219598/versions,Lisa Stokke & Kringkastingsorkesteret,https://secondhandsongs.com/artist/41248+97625,Norway,2006
The Winner Takes It All,https://secondhandsongs.com/performance/449247/versions,Riff Raff,https://secondhandsongs.com/artist/96936,Germany,2006
The Winner Takes It All,https://secondhandsongs.com/performance/791117/versions,Karen Mason,https://secondhandsongs.com/artist/77126,United States,2006
The Winner Takes It All,https://secondhandsongs.com/performance/808004/versions,Sweetbox,https://secondhandsongs.com/artist/2754,Germany,2006
The Winner Takes It All,https://secondhandsongs.com/performance/1237278/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2006
Winner Takes It All,https://secondhandsongs.com/performance/1296545/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
The Winner Takes It All,https://secondhandsongs.com/performance/1335048/versions,Rúzsa Magdolna,https://secondhandsongs.com/artist/202475,Hungary,2006
The Winner Takes It All,https://secondhandsongs.com/performance/675178/versions,Adagio [HU],https://secondhandsongs.com/artist/122024,Hungary,2007
The Winner Takes It All,https://secondhandsongs.com/performance/500488/versions,Bambi [BNB],https://secondhandsongs.com/artist/102209,United States,2007
The Winner Takes It All,https://secondhandsongs.com/performance/687914/versions,Avid All Stars,https://secondhandsongs.com/artist/54751,United Kingdom,2007
The Winner Takes It All,https://secondhandsongs.com/performance/952305/versions,Black ABBA(Norma Lewis),https://secondhandsongs.com/artist/145408,United Kingdom,2008
The Winner Takes It All,https://secondhandsongs.com/performance/78329/versions,Meryl Streep,https://secondhandsongs.com/artist/32674,United States,2008
The Winner Takes It All,https://secondhandsongs.com/performance/822310/versions,Thanh Bui,https://secondhandsongs.com/artist/147261,Australia,2008
The Winner Takes It All,https://secondhandsongs.com/performance/236563/versions,Maria Arredondo,https://secondhandsongs.com/artist/49604,Norway,2008
The Winner Takes It All,https://secondhandsongs.com/performance/1372193/versions,Nicola,https://secondhandsongs.com/artist/206575,Romania,2009
The Winner Takes It All,https://secondhandsongs.com/performance/198264/versions,Susan Wong,https://secondhandsongs.com/artist/35596,Hong Kong,2009
The Winner Takes It All,https://secondhandsongs.com/performance/702448/versions,Julie Forsyth,https://secondhandsongs.com/artist/46458,United Kingdom,2009
The Winner Takes It All,https://secondhandsongs.com/performance/124206/versions,John Barrowman,https://secondhandsongs.com/artist/22466,United Kingdom,2010
The Winner Takes It All,https://secondhandsongs.com/performance/899211/versions,Anna Saeki - Tangoloco,https://secondhandsongs.com/artist/157473+157474,Japan,2010
Winner Takes It All,https://secondhandsongs.com/performance/243550/versions,Di Leva,https://secondhandsongs.com/artist/66443,Sweden,2010
The Winner Takes It All,https://secondhandsongs.com/performance/602401/versions,Peter & Matilda,https://secondhandsongs.com/artist/115942,Sweden,2010
The Winner Takes It All,https://secondhandsongs.com/performance/431655/versions,Jessica Pilnäs,https://secondhandsongs.com/artist/94946,Sweden,2011
The Winner Takes It All,https://secondhandsongs.com/performance/448159/versions,Solveig Slettahjell,https://secondhandsongs.com/artist/96790,Norway,2011
The Winner Takes It All,https://secondhandsongs.com/performance/1445153/versions,Patrick Stanke,https://secondhandsongs.com/artist/211092,Germany,2011
The Winner Takes It All,https://secondhandsongs.com/performance/704011/versions,Rebecca Storm,https://secondhandsongs.com/artist/76788,United Kingdom,2011
The Winner Takes It All,https://secondhandsongs.com/performance/1208277/versions,Reinxeed,https://secondhandsongs.com/artist/63592,Sweden,2011
The Winner Takes It All,https://secondhandsongs.com/performance/717795/versions,Blandine Aggery,https://secondhandsongs.com/artist/132612,France,2012
The Winner Takes It All,https://secondhandsongs.com/performance/303425/versions,The Vaccines,https://secondhandsongs.com/artist/55964,United Kingdom,2012
The Winner Takes It All,https://secondhandsongs.com/performance/637813/versions,Berk & The Virtual Band,https://secondhandsongs.com/artist/57113,Spain,2012
