Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
I Wonder,https://secondhandsongs.com/performance/511108/versions,Vera Lynn,https://secondhandsongs.com/artist/21318,United Kingdom,1979
I Wonder,https://secondhandsongs.com/performance/1037240/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,1987
I Wonder,https://secondhandsongs.com/performance/344043/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,1996
I Wonder (Departure),https://secondhandsongs.com/performance/721431/versions,"Lily James, Jessica Keenan Wynn & Alexa Davies",https://secondhandsongs.com/artist/122459+132468+132469,United Kingdom,2018
I Wonder (Departure),https://secondhandsongs.com/performance/1120788/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
I Wonder,https://secondhandsongs.com/performance/112929/versions,Franck Pourcel,https://secondhandsongs.com/artist/23317,France,1978
I Wonder,https://secondhandsongs.com/performance/452897/versions,Putte Wickman,https://secondhandsongs.com/artist/48960,Sweden,1997
I Wonder (Departure),https://secondhandsongs.com/performance/614217/versions,Benny Andersson,https://secondhandsongs.com/artist/3170,Sweden,2017
Imagine-moi,https://secondhandsongs.com/performance/37798/versions,Fabienne Thibeault,https://secondhandsongs.com/artist/19032,Canada,1983
Spiegel,https://secondhandsongs.com/submission/156403,José Hoebee,https://secondhandsongs.com/artist/47204,Netherlands,1984
