Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
The Name of the Game,https://secondhandsongs.com/performance/317950/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1977
The Name of the Game,https://secondhandsongs.com/performance/1266042/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1977
The Name of the Game,https://secondhandsongs.com/performance/596384/versions,Bingos,https://secondhandsongs.com/artist/116067,Sweden,1977
The Name of the Game,https://secondhandsongs.com/performance/882114/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1977
The Name of the Game,https://secondhandsongs.com/performance/1043447/versions,The Carnabees ‎,https://secondhandsongs.com/artist/172492,Germany,1979
The Name of the Game,https://secondhandsongs.com/performance/1058474/versions,The Sessionmen(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1979
The Name of the Game,https://secondhandsongs.com/performance/207205/versions,Any Trouble,https://secondhandsongs.com/artist/27181,United Kingdom,1980
The Name of the Game,https://secondhandsongs.com/performance/309147/versions,Irma,https://secondhandsongs.com/artist/78036,Sweden,1992
The Name of the Game,https://secondhandsongs.com/performance/53870/versions,Shaynie & Fifi '95,https://secondhandsongs.com/artist/24406+24407,New Zealand,1995
The Name of the Game,https://secondhandsongs.com/performance/610501/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1996
The Name of the Game,https://secondhandsongs.com/performance/292722/versions,SAS Band,https://secondhandsongs.com/artist/1070,United Kingdom,1997
The Name of the Game,https://secondhandsongs.com/performance/232/versions,A*Teens,https://secondhandsongs.com/artist/120,Sweden,1999
The Name of the Game,https://secondhandsongs.com/performance/112025/versions,Lisa Stokke and Nicolas Colicos,https://secondhandsongs.com/artist/41248+41250,Norway,1999
The Name of the Game,https://secondhandsongs.com/performance/20517/versions,Nils Landgren Funk Unit,https://secondhandsongs.com/artist/12351,Sweden,2004
The Name of the Game,https://secondhandsongs.com/performance/725151/versions,Pamela McNeill,https://secondhandsongs.com/artist/133807,United States,2004
The Name of the Game,https://secondhandsongs.com/performance/207363/versions,Sydney Youngblood,https://secondhandsongs.com/artist/34618,United States,2005
The Name of the Game,https://secondhandsongs.com/performance/1237272/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2006
The Name of the Game,https://secondhandsongs.com/performance/1296543/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
The Name of the Game,https://secondhandsongs.com/performance/687916/versions,Avid All Stars,https://secondhandsongs.com/artist/54751,United Kingdom,2007
The Name of the Game,https://secondhandsongs.com/performance/79156/versions,Amanda Seyfried,https://secondhandsongs.com/artist/32675,United States,2008
The Name of the Game,https://secondhandsongs.com/performance/721441/versions,Lily James,https://secondhandsongs.com/artist/122459,United Kingdom,2018
The Name of the Game,https://secondhandsongs.com/performance/745278/versions,Cher,https://secondhandsongs.com/artist/45,United States,2018
The Name of the Game,https://secondhandsongs.com/performance/1451346/versions,Cinerama,https://secondhandsongs.com/artist/55377,United Kingdom,2018
The Name of the Game,https://secondhandsongs.com/performance/1300979/versions,"Block & Crown, Lissat",https://secondhandsongs.com/artist/180503+199009,Netherlands,2021
The Name of the Game,https://secondhandsongs.com/performance/257259/versions,Franck Pourcel et son grand orchestre,https://secondhandsongs.com/artist/23317,France,1977
The Name of the Game,https://secondhandsongs.com/performance/698861/versions,Bernard Ebbinghouse,https://secondhandsongs.com/artist/80676,United Kingdom,1978
The Name of the Game,https://secondhandsongs.com/performance/457731/versions,Richard Clayderman,https://secondhandsongs.com/artist/5331,France,1993
The Name of the Game,https://secondhandsongs.com/performance/495573/versions,Spectrum [US2],https://secondhandsongs.com/artist/830,United States,1996
The Name of the Game,https://secondhandsongs.com/performance/928148/versions,Andy Findon,https://secondhandsongs.com/artist/161279,United Kingdom,2000
The Name of the Game,https://secondhandsongs.com/performance/535367/versions,James Last,https://secondhandsongs.com/artist/7540,Germany,2001
The Name of the Game,https://secondhandsongs.com/performance/229711/versions,Siddhi J Sundt,https://secondhandsongs.com/artist/64045,Sweden,2012
The Name of the Game,https://secondhandsongs.com/performance/1120560/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Was ist das für ein Spiel,https://secondhandsongs.com/performance/808189/versions,Peggy Pollow & Ulrich Allroggen,https://secondhandsongs.com/artist/111993+130534,Germany,2004
Hai ye pyar ghazab,https://secondhandsongs.com/performance/769155/versions,Salma & Sabina Agha,Salma & Sabina Agha | SecondHandSongs,India,1981
