Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Like an Angel Passing Through My Room,https://secondhandsongs.com/performance/344044/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,1996
Like an Angel Passing Through My Room,https://secondhandsongs.com/performance/55853/versions,Anne Sofie von Otter meets Elvis Costello,https://secondhandsongs.com/artist/230+14331,Sweden,2001
Like an Angel Passing Through,https://secondhandsongs.com/performance/1442883/versions,Sissel,https://secondhandsongs.com/artist/16470,Norway,2006
Like an Angel Passing Through My Room,https://secondhandsongs.com/performance/1192586/versions,Anja Lerch & Frank Sichmann,https://secondhandsongs.com/artist/186842+186843,Germany,2008
Like an Angel Passing Through My Room,https://secondhandsongs.com/performance/506400/versions,Myrra Malmberg,https://secondhandsongs.com/artist/96640,Sweden,2011
Like an Angel Passing Through My Room,https://secondhandsongs.com/performance/1469251/versions,Tossia Corman,https://secondhandsongs.com/artist/219375,Germany,2013
Like an Angel Passing Through My Room,https://secondhandsongs.com/performance/1401048/versions,Celtic Woman,https://secondhandsongs.com/artist/39741,Ireland,2015
Like an Angel Passing Through My Room,https://secondhandsongs.com/performance/1169075/versions,Kristjana Stefáns & Svavar Knútur,https://secondhandsongs.com/artist/178930+181538,Iceland,2020
Like an Angel Passing Through My Room,https://secondhandsongs.com/performance/1120838/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
La voix de Frida,https://secondhandsongs.com/performance/1442776/versions,Philippe Elan,https://secondhandsongs.com/artist/37075,France,2000
