Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Slipping Through My Fingers,https://secondhandsongs.com/performance/112019/versions,Siobhan McCarthy and Lisa Stokke,https://secondhandsongs.com/artist/41244+41248,Ireland,1999
Slipping Through My Fingers,https://secondhandsongs.com/performance/539971/versions,Wendy Coates,https://secondhandsongs.com/artist/41779,United States,2001
Slipping Through My Fingers,https://secondhandsongs.com/performance/826292/versions,Louise Pitre,https://secondhandsongs.com/artist/101897,Canada,2001
Slipping Through My Fingers,https://secondhandsongs.com/performance/659862/versions,Rhonda Burchmore,https://secondhandsongs.com/artist/125032,Australia,2008
Slipping Through My Fingers,https://secondhandsongs.com/performance/84940/versions,Meryl Streep & Amanda Seyfried,https://secondhandsongs.com/artist/32674+32675,United States,2008
Slipping Through My Fingers,https://secondhandsongs.com/performance/1070746/versions,Valerie Quesada,https://secondhandsongs.com/artist/175648,United States,2018
Slipping Through My Fingers,https://secondhandsongs.com/performance/1087305/versions,Mazz Murray,https://secondhandsongs.com/artist/176949,United Kingdom,2020
Slipping Through My Fingers,https://secondhandsongs.com/performance/1411307/versions,Jae Hall,https://secondhandsongs.com/artist/175409,United Kingdom,2022
Slipping Through My Fingers,https://secondhandsongs.com/performance/928151/versions,Andy Findon,https://secondhandsongs.com/artist/161279,United Kingdom,2000
Slipping Through My Fingers,https://secondhandsongs.com/performance/1120796/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Durch meine Finger rinnt die ZeitREL,https://secondhandsongs.com/performance/702721/versions,Carolin Fortenbacher & Peggy Pollow,https://secondhandsongs.com/artist/111992+111993,Germany,2004
Durch meine Finger rinnt die Zeit,https://secondhandsongs.com/performance/568609/versions,Michael Karp,https://secondhandsongs.com/artist/111991,Germany,2010
Durch meine Finger rinnt die Zeit,https://secondhandsongs.com/performance/568608/versions,Claudia Jung,https://secondhandsongs.com/artist/65243,Germany,2015
