Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
The Day Before You Came,https://secondhandsongs.com/performance/1527391/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1982
The Day Before You Came,https://secondhandsongs.com/performance/64335/versions,Blancmange,https://secondhandsongs.com/artist/14311,United Kingdom,1984
The Day Before You Came,https://secondhandsongs.com/performance/1447612/versions,The Stars Unlimited Singers,https://secondhandsongs.com/artist/216268,Netherlands,1985
The Day Before You Came,https://secondhandsongs.com/performance/610237/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1992
The Day Before You Came,https://secondhandsongs.com/performance/207371/versions,Tanita Tikaram,https://secondhandsongs.com/artist/8802,United Kingdom,1998
The Day Before You Came,https://secondhandsongs.com/performance/395349/versions,Jacques,https://secondhandsongs.com/artist/91678,United Kingdom,2000
Cover Version II,https://secondhandsongs.com/performance/237659/versions,Steven Wilson,https://secondhandsongs.com/artist/40096,United Kingdom,2004
The Day Before You Came,https://secondhandsongs.com/performance/77414/versions,Anne Sofie von Otter,https://secondhandsongs.com/artist/14331,Sweden,2006
Day Before You Came,https://secondhandsongs.com/performance/1296559/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
The Day Before You Came,https://secondhandsongs.com/performance/1361531/versions,The Real Tuesday Weld,https://secondhandsongs.com/artist/44650,United Kingdom,2007
The Day Before You Came,https://secondhandsongs.com/performance/274447/versions,B.E.F. featuring Maxim,https://secondhandsongs.com/artist/11013+21800,United Kingdom,2013
The Day Before You Came,https://secondhandsongs.com/performance/301140/versions,Parralox,https://secondhandsongs.com/artist/40042,Australia,2013
The Day Before You Came,https://secondhandsongs.com/performance/669961/versions,Some Velvet Morning,https://secondhandsongs.com/artist/126276,United Kingdom,2015
The Day Before You Came,https://secondhandsongs.com/performance/473451/versions,"Kirsti, Ola & Erik",https://secondhandsongs.com/artist/99431,Norway,2015
The Day Before You Came,https://secondhandsongs.com/performance/721450/versions,Meryl Streep,https://secondhandsongs.com/artist/32674,United States,2018
The Day Before You Came,https://secondhandsongs.com/performance/928169/versions,Andy Findon,https://secondhandsongs.com/artist/161279,United Kingdom,2000
The Day Before You Came,https://secondhandsongs.com/performance/614216/versions,Benny Andersson,https://secondhandsongs.com/artist/3170,Sweden,2017
The Day Before You Came,https://secondhandsongs.com/performance/1120787/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Met kerst ben ik alleen,https://secondhandsongs.com/performance/112418/versions,André Hazes,https://secondhandsongs.com/artist/11523,Netherlands,1982
Ich war zu lang' allein,https://secondhandsongs.com/performance/725152/versions,Andrea Wilke,https://secondhandsongs.com/artist/133810,Germany,1983
