Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Does Your Mother Know,https://secondhandsongs.com/performance/352358/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1979
Does Your Mother Know,https://secondhandsongs.com/performance/1525869/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1979
Born to Be Alive - Does Your Mother Know,https://secondhandsongs.com/performance/228077/versions,Max Greger,https://secondhandsongs.com/artist/63767,Germany,1979
Does Your Mother Know,https://secondhandsongs.com/performance/1354495/versions,Mario Cavallero son orchestre et ses chanteurs,https://secondhandsongs.com/artist/154958,France,1979
Does Your Mother Know,https://secondhandsongs.com/performance/1179980/versions,Bhonus,https://secondhandsongs.com/artist/180434,Sweden,1990
Does Your Mother Know,https://secondhandsongs.com/performance/309134/versions,Pelle Almgren & Wow Liksom,https://secondhandsongs.com/artist/78031,Sweden,1992
Does Your Mother Know,https://secondhandsongs.com/performance/549879/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
Does Your Mother Know?,https://secondhandsongs.com/performance/58548/versions,Ash,https://secondhandsongs.com/artist/9855,United Kingdom,1996
Does Your Mother Know,https://secondhandsongs.com/performance/648616/versions,The Smith College Smiffenpoofs,https://secondhandsongs.com/artist/100428,United States,1997
Does Your Mother Know,https://secondhandsongs.com/performance/1088501/versions,San Francisco Gay Men's Chorus,https://secondhandsongs.com/artist/126580,United States,1997
Does Your Mother Know?,https://secondhandsongs.com/performance/130623/versions,Liberator [SE],https://secondhandsongs.com/artist/44926,Sweden,1998
Does Your Mother Know,https://secondhandsongs.com/performance/688014/versions,"Helen Sjöholm, Karin Glenmark, Tommy Körberg, Anders Glenmark",https://secondhandsongs.com/artist/32534+37393+69679+114652,Sweden,1998
Does Your Mother Know?,https://secondhandsongs.com/performance/112022/versions,"Louise Plowright, Neal Wright, and Company",https://secondhandsongs.com/artist/41245+41247,United Kingdom,1999
Does Your Mother Know,https://secondhandsongs.com/performance/4005/versions,B*Witched,https://secondhandsongs.com/artist/1959,Ireland,1999
Does Your Mother Know?,https://secondhandsongs.com/performance/80362/versions,Apocalypse Babys,https://secondhandsongs.com/artist/33313,United Kingdom,1999
Does Your Mother Know?,https://secondhandsongs.com/performance/466408/versions,Sha-Na,https://secondhandsongs.com/artist/13833,Belgium,1999
Woman from Tokyo / Does Your Mother Know,https://secondhandsongs.com/performance/75165/versions,The Black Sweden,https://secondhandsongs.com/artist/31588,Sweden,2000
Does Your Mother Know,https://secondhandsongs.com/performance/51103/versions,The Restarts,https://secondhandsongs.com/artist/23196,United Kingdom,2002
Does Your Mother Know?,https://secondhandsongs.com/performance/500678/versions,Will Mellor,https://secondhandsongs.com/artist/96450,United Kingdom,2004
Does Your Mother Know,https://secondhandsongs.com/performance/152056/versions,Capten Weber,https://secondhandsongs.com/artist/49329,Sweden,2004
Does Your Mother Know,https://secondhandsongs.com/performance/999313/versions,Ginger [GB],https://secondhandsongs.com/artist/13760,United Kingdom,2004
Does Your Mother Know,https://secondhandsongs.com/performance/182390/versions,The Heebee-Jeebees,https://secondhandsongs.com/artist/55545,Canada,2005
Does Your Mother Know,https://secondhandsongs.com/performance/1212407/versions,SWR Big Band - Wencke Myhre,https://secondhandsongs.com/artist/28090+55522,Germany,2005
Does Your Mother Know,https://secondhandsongs.com/performance/687957/versions,Speechless Project(Music Brokers Studio Artists),https://secondhandsongs.com/artist/169637,Argentina,2006
Does Your Mother Know,https://secondhandsongs.com/performance/433940/versions,Rajaton with Lahti Symphony Orchestra,https://secondhandsongs.com/artist/57208+57209,France,2006
Does Your Mother Know,https://secondhandsongs.com/performance/1237274/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2006
Does Your Mother Know,https://secondhandsongs.com/performance/1296516/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
Does Your Mother Know,https://secondhandsongs.com/performance/952316/versions,Black ABBA(Norma Lewis),https://secondhandsongs.com/artist/145408,United Kingdom,2008
Does Your Mother Know,https://secondhandsongs.com/performance/79158/versions,Christine Baranski & Philip Michael,https://secondhandsongs.com/artist/32974+32979,United States,2008
Does Your Mother Know?,https://secondhandsongs.com/performance/142308/versions,The Glitter Band featuring John Rossall,https://secondhandsongs.com/artist/6212+14635,United Kingdom,2008
Does Your Mother Know,https://secondhandsongs.com/performance/310098/versions,The Slingsby Hornets,https://secondhandsongs.com/artist/53406,United Kingdom,2008
Does Your Mother Know,https://secondhandsongs.com/performance/835871/versions,Eoghan Quigg,https://secondhandsongs.com/artist/149043,United Kingdom,2009
Chiquitita / Does Your Mother Know / Knowing Me Knowing You / SOS / Fernando,https://secondhandsongs.com/performance/688473/versions,Ses Snare,https://secondhandsongs.com/artist/128487,South Africa,2009
Does Your Mother Know,https://secondhandsongs.com/performance/352902/versions,Out of the Blue [Oxford],https://secondhandsongs.com/artist/84768,United Kingdom,2011
Does Your Mother Know,https://secondhandsongs.com/performance/1208252/versions,Reinxeed,https://secondhandsongs.com/artist/63592,Sweden,2014
Does Your Mother Know,https://secondhandsongs.com/performance/1059852/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,2017
Does Your Mother Know,https://secondhandsongs.com/performance/1191469/versions,The Isosceles Lock,https://secondhandsongs.com/artist/186662,United States,2017
Does Your Mother Know,https://secondhandsongs.com/performance/1191521/versions,Room 302,https://secondhandsongs.com/artist/184369,United States,2017
Does Your Mother Know,https://secondhandsongs.com/performance/853937/versions,The Shaken Bakers,https://secondhandsongs.com/artist/133960,United Kingdom,2019
Does Your Mother Know,https://secondhandsongs.com/performance/865842/versions,The Members,https://secondhandsongs.com/artist/10128,United Kingdom,2019
Does Your Mother Know,https://secondhandsongs.com/performance/1227799/versions,Psychotic Youth,https://secondhandsongs.com/artist/15072,Sweden,2021
Does Your Mother Know,https://secondhandsongs.com/performance/1432454/versions,Emily Nenni,https://secondhandsongs.com/artist/214206,United States,2022
Does Your Mother Know,https://secondhandsongs.com/performance/227680/versions,Franz Lambert an der Galaxis-Orgel,https://secondhandsongs.com/artist/61812,Germany,1979
Does Your Mother Know,https://secondhandsongs.com/performance/227948/versions,Ady Zehnpfennig,https://secondhandsongs.com/artist/53994,Germany,1979
Does Your Mother Know,https://secondhandsongs.com/performance/1037268/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,2002
Does Your Mother Know,https://secondhandsongs.com/performance/229702/versions,Siddhi J Sundt,https://secondhandsongs.com/artist/64045,Sweden,2012
Does Your Mother Know,https://secondhandsongs.com/performance/1120280/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
När ska du va' hemma ikväll,https://secondhandsongs.com/performance/722701/versions,Sven-Erics,https://secondhandsongs.com/artist/115735,Sweden,1986
Weet je moeder dat,https://secondhandsongs.com/performance/602637/versions,Harko Wind,https://secondhandsongs.com/artist/117016,Netherlands,2009
Weet je moeder dat,https://secondhandsongs.com/performance/1392023/versions,De Leidsche Sleuteltjes,https://secondhandsongs.com/artist/103232,Netherlands,1992
Weet je moeder dat,https://secondhandsongs.com/performance/1392019/versions,Ellen Evers & Paul Boereboom,https://secondhandsongs.com/artist/209109+209110,Netherlands,2004
Wenn das Mami wüsst,https://secondhandsongs.com/performance/808210/versions,"Annette Wimmer, Kevin Schröder, and Ensemble",https://secondhandsongs.com/artist/145286+145341+145344,Germany,2004
Sabe tu mamá?,https://secondhandsongs.com/performance/987984/versions,The Sacados,https://secondhandsongs.com/artist/167457,Argentina,1993
Sabe tu mamá donde estás?,https://secondhandsongs.com/performance/988013/versions,Marta Valverde - David Ávila,https://secondhandsongs.com/artist/167469+167470,Spain,2005
När ska du va' hemma ikväll,https://secondhandsongs.com/performance/722699/versions,Göran Folkestad,https://secondhandsongs.com/artist/133431,Sweden,1985
När ska du va' hemma ikväll,https://secondhandsongs.com/performance/722701/versions,Sven-Erics,https://secondhandsongs.com/artist/115735,Sweden,1986
