Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
I Have a Dream,https://secondhandsongs.com/performance/641400/versions,Sharifah Aini,https://secondhandsongs.com/artist/122379,Malaysia,1979
I Have a Dream,https://secondhandsongs.com/performance/785764/versions,"Christopher John, son orchestre et ses chanteurs [MFP]",https://secondhandsongs.com/artist/107640,United Kingdom,1979
I Have a Dream,https://secondhandsongs.com/performance/1525890/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1980
I Have a Dream,https://secondhandsongs.com/performance/177343/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1980
I Have a Dream,https://secondhandsongs.com/performance/250642/versions,Cristy Lane,https://secondhandsongs.com/artist/18665,United States,1981
I Have a Dream,https://secondhandsongs.com/performance/1255778/versions,St. Winifred's School Choir,https://secondhandsongs.com/artist/72445,United Kingdom,1981
I Have a Dream,https://secondhandsongs.com/performance/1223249/versions,Bryn Yemm,https://secondhandsongs.com/artist/76187,United Kingdom,1983
I Have a Dream,https://secondhandsongs.com/performance/75397/versions,Nana Mouskouri,https://secondhandsongs.com/artist/350,Greece,1985
I Have a Dream,https://secondhandsongs.com/performance/645055/versions,The Original Stanfaste Singers / Joe Bourne,https://secondhandsongs.com/artist/81864+122974,Netherlands,1985
I Have a Dream,https://secondhandsongs.com/performance/549439/versions,Leif Hagbergs,https://secondhandsongs.com/artist/109165,Sweden,1986
I Have a Dream,https://secondhandsongs.com/performance/799659/versions,Wonderprick,https://secondhandsongs.com/artist/76010,Germany,1995
I Have a Dream,https://secondhandsongs.com/performance/127142/versions,Daniel O'Donnell,https://secondhandsongs.com/artist/15851,Ireland,1997
I Have a Dream,https://secondhandsongs.com/performance/549887/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1998
I Have a Dream,https://secondhandsongs.com/performance/112015/versions,Lisa Stokke,https://secondhandsongs.com/artist/41248,Norway,1999
I Have a Dream,https://secondhandsongs.com/performance/3996/versions,Westlife,https://secondhandsongs.com/artist/47,Ireland,1999
I Have a Dream,https://secondhandsongs.com/performance/1220645/versions,Karen Noble,https://secondhandsongs.com/artist/77678,United Kingdom,1999
I Have a Dream,https://secondhandsongs.com/performance/94457/versions,Etta Cameron,https://secondhandsongs.com/artist/35485,Denmark,2000
I Have a Dream,https://secondhandsongs.com/performance/1014710/versions,Hannah Morris,https://secondhandsongs.com/artist/170235,United Kingdom,2000
I Have a Dream,https://secondhandsongs.com/performance/326958/versions,Karen Mason,https://secondhandsongs.com/artist/77126,United States,2001
I Have a Dream,https://secondhandsongs.com/performance/204626/versions,Al Martino,https://secondhandsongs.com/artist/10925,United States,2001
ABBA Medley,https://secondhandsongs.com/performance/6892/versions,Dana Winner,https://secondhandsongs.com/artist/3013,Belgium,2002
I Have a Dream,https://secondhandsongs.com/performance/718058/versions,The Monks of Moramanga,https://secondhandsongs.com/artist/144211,United Kingdom,2003
I Have a Dream,https://secondhandsongs.com/performance/207366/versions,Barbara Schöneberger & Sydney Youngblood,https://secondhandsongs.com/artist/34618+59761,Germany,2005
I Have a Dream,https://secondhandsongs.com/performance/222505/versions,Wing,https://secondhandsongs.com/artist/62776,New Zealand,2006
I Have a Dream,https://secondhandsongs.com/performance/449243/versions,Riff Raff,https://secondhandsongs.com/artist/96936,Germany,2006
I Have a Dream,https://secondhandsongs.com/performance/1237273/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2006
I Have a Dream,https://secondhandsongs.com/performance/1296533/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
I Have a Dream,https://secondhandsongs.com/performance/500486/versions,Rick [BNB],https://secondhandsongs.com/artist/124957,United States,2007
I Have a Dream,https://secondhandsongs.com/performance/687917/versions,Avid All Stars,https://secondhandsongs.com/artist/54751,United Kingdom,2007
I Have a Dream,https://secondhandsongs.com/performance/757748/versions,Connie Talbot,https://secondhandsongs.com/artist/93155,United Kingdom,2007
I Have a Dream,https://secondhandsongs.com/performance/78330/versions,Amanda Seyfried,https://secondhandsongs.com/artist/32675,United States,2008
I Have a Dream,https://secondhandsongs.com/performance/114777/versions,Wenche,https://secondhandsongs.com/artist/34306,Denmark,2009
I Have a Dream,https://secondhandsongs.com/performance/157696/versions,Giorgia Fumanti,https://secondhandsongs.com/artist/41171,Italy,2011
