Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Hasta mañana,https://secondhandsongs.com/performance/896763/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1974
Hasta manana,https://secondhandsongs.com/performance/429392/versions,Lena Martell,https://secondhandsongs.com/artist/65353,United Kingdom,1974
Hasta mañana,https://secondhandsongs.com/performance/544506/versions,The Continental Group,https://secondhandsongs.com/artist/108370,Italy,1976
Hasta mañana,https://secondhandsongs.com/performance/1107305/versions,Judy Stone,https://secondhandsongs.com/artist/71375,Australia,1976
Hasta mañana,https://secondhandsongs.com/performance/74733/versions,Nashville Train,https://secondhandsongs.com/artist/31456,Sweden,1977
Hasta mañana,https://secondhandsongs.com/performance/300853/versions,Debby Boone,https://secondhandsongs.com/artist/28154,United States,1977
Hasta mañana,https://secondhandsongs.com/performance/1038957/versions,The Session Men(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
Hasta manana,https://secondhandsongs.com/performance/309131/versions,Army of Lovers,https://secondhandsongs.com/artist/25285,Sweden,1992
Hasta mañana,https://secondhandsongs.com/performance/576019/versions,Callinaz,https://secondhandsongs.com/artist/113364,Sweden,2012
Hasta mañana,https://secondhandsongs.com/performance/743617/versions,Tato Tomaso(Ivan Graziani),https://secondhandsongs.com/artist/56467,Italy,1974
Hasta mañana,https://secondhandsongs.com/performance/75222/versions,Arthur Greenslade & His Orchestra,https://secondhandsongs.com/artist/31594,United Kingdom,1975
Hasta mañana,https://secondhandsongs.com/performance/88604/versions,Magic Guitar,https://secondhandsongs.com/artist/184905,Australia,1976
Hasta mañana,https://secondhandsongs.com/performance/1263414/versions,Toshio Mori & Blue Coats,https://secondhandsongs.com/artist/83995,Japan,1979
Hasta mañana,https://secondhandsongs.com/performance/1037242/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,1987
Hasta mañana,https://secondhandsongs.com/performance/933789/versions,The Munich Philharmonic Orchestra,https://secondhandsongs.com/artist/101335,Germany,1991
Hasta mañana,https://secondhandsongs.com/performance/568313/versions,Simons,https://secondhandsongs.com/artist/95851,Sweden,1992
Hasta mañana,https://secondhandsongs.com/performance/970650/versions,Gunnar Sandevärn,https://secondhandsongs.com/artist/62497,Sweden,2012
Hasta mañana,https://secondhandsongs.com/performance/1120815/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Jiang lai na tian,https://secondhandsongs.com/performance/1391383/versions,Sally Yeh,https://secondhandsongs.com/artist/81725,Canada,1984
Hasta mañana,https://secondhandsongs.com/performance/382486/versions,Micha Marah,https://secondhandsongs.com/artist/20948,Belgium,1974
Hasta mañana,https://secondhandsongs.com/performance/215660/versions,Sha-Na,https://secondhandsongs.com/artist/13833,Belgium,1996
Hasta mañana,https://secondhandsongs.com/performance/322415/versions,Monika & Aarno Ranisen Orkesteri,https://secondhandsongs.com/artist/43827+68450,Finland,1974
Hasta mañana,https://secondhandsongs.com/performance/696083/versions,Kisu,https://secondhandsongs.com/artist/43905,Finland,1974
Hasta mañana,https://secondhandsongs.com/performance/588301/versions,Rolf Bergström & Pyhimykset,https://secondhandsongs.com/artist/114917,Finland,1975
Hasta mañana,https://secondhandsongs.com/performance/588303/versions,Piritta,https://secondhandsongs.com/artist/79098,Finland,1975
Hasta mañana,https://secondhandsongs.com/performance/719169/versions,Black & White [FI],https://secondhandsongs.com/artist/132850,Finland,1975
Hasta mañana,https://secondhandsongs.com/performance/1115929/versions,"Hanne - Orkesteri, joht. Rolf Bergström ja Pyhimykset",https://secondhandsongs.com/artist/112450+114917,Finland,1975
Hasta mañana,https://secondhandsongs.com/performance/772744/versions,Anne Renée,https://secondhandsongs.com/artist/127617,Canada,1976
Hasta mañana,https://secondhandsongs.com/submission/72083,Petula Clark,https://secondhandsongs.com/artist/495,United Kingdom,1975
Hasta mañana,https://secondhandsongs.com/performance/614627/versions,Lena Andersson,https://secondhandsongs.com/artist/69733,Sweden,1975
Hasta mañana,https://secondhandsongs.com/performance/489724/versions,Gro Anita,https://secondhandsongs.com/artist/69668,Norway,1974
Hasta mañana,https://secondhandsongs.com/performance/732023/versions,The Fevers [BR],https://secondhandsongs.com/artist/25059,Brazil,1977
Hasta mañana,https://secondhandsongs.com/performance/492357/versions,Lena Andersson,https://secondhandsongs.com/artist/69733,Sweden,1974
Hasta mañana,https://secondhandsongs.com/performance/575610/versions,Schytts,https://secondhandsongs.com/artist/108758,Sweden,1974
Hasta mañana,https://secondhandsongs.com/performance/659739/versions,Jorun Høiland,https://secondhandsongs.com/artist/121677,Norway,1974
Save Your Kisses for Me / Hasta manana,https://secondhandsongs.com/performance/416100/versions,The King's Singers,https://secondhandsongs.com/artist/337,United Kingdom,1981
Hasta manana,https://secondhandsongs.com/performance/1296564/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
Waterloo - Hasta Manana - Money Money Money,https://secondhandsongs.com/performance/1247908/versions,Phil Kelsall,https://secondhandsongs.com/artist/193059,United Kingdom,1978
Hasta mañana,https://secondhandsongs.com/performance/977399/versions,Rico Kvintetten og Karin Påske,https://secondhandsongs.com/artist/106003+166207,Denmark,1975
