Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Honey Honey,https://secondhandsongs.com/performance/75398/versions,Sweet Dreams,https://secondhandsongs.com/artist/31652,United Kingdom,1974
"Honey, Honey",https://secondhandsongs.com/performance/896729/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1974
"Honey, Honey",https://secondhandsongs.com/performance/489721/versions,Inger Lise og Jahn Teigen,https://secondhandsongs.com/artist/54795+71453,Norway,1974
"Honey, Honey",https://secondhandsongs.com/performance/569036/versions,Orchester Udo Reichel,https://secondhandsongs.com/artist/54021,Germany,1974
"Honey, Honey",https://secondhandsongs.com/performance/1328366/versions,October Cherries,https://secondhandsongs.com/artist/59756,Singapore,1975
"Honey, Honey",https://secondhandsongs.com/performance/544513/versions,The Continental Group,https://secondhandsongs.com/artist/108370,Italy,1976
"Honey, Honey",https://secondhandsongs.com/performance/74719/versions,Nashville Train,https://secondhandsongs.com/artist/31456,Sweden,1977
"Honey, Honey",https://secondhandsongs.com/performance/1038953/versions,The Session Men(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
"Honey, Honey",https://secondhandsongs.com/performance/1043446/versions,The Carnabees ‎,https://secondhandsongs.com/artist/172492,Germany,1979
ABBA Medley,https://secondhandsongs.com/performance/1140754/versions,Bhonus,https://secondhandsongs.com/artist/180434,Sweden,1992
"Honey, Honey",https://secondhandsongs.com/performance/53879/versions,Loves Ugly Children,https://secondhandsongs.com/artist/24399,New Zealand,1995
Honey Honey,https://secondhandsongs.com/performance/610358/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1996
Honey Honey,https://secondhandsongs.com/performance/549884/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1998
"Honey, Honey",https://secondhandsongs.com/performance/687999/versions,"Helen Sjöholm, Karin Glenmark, Tommy Körberg, Anders Glenmark",https://secondhandsongs.com/artist/32534+37393+69679+114652,Sweden,1998
"Honey, Honey",https://secondhandsongs.com/performance/112036/versions,"Lisa Stokke, Eliza Lumley and Melissa Gibson",https://secondhandsongs.com/artist/41248+41257+41258,Norway,1999
Gabba Gabba,https://secondhandsongs.com/submission/59996,Gabba,https://secondhandsongs.com/artist/10537,Sweden,1999
Honey Honey,https://secondhandsongs.com/performance/718061/versions,The Monks of Moramanga,https://secondhandsongs.com/artist/144211,United Kingdom,2003
"Honey, Honey",https://secondhandsongs.com/performance/1237268/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2006
Honey Honey,https://secondhandsongs.com/performance/1296547/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
Honey Honey,https://secondhandsongs.com/performance/301726/versions,Pleasure Forever,https://secondhandsongs.com/artist/76779,United States,2007
"Honey, Honey",https://secondhandsongs.com/performance/79149/versions,"Amanda Seyfried, Ashley Lilley & Rachel McDowall",https://secondhandsongs.com/artist/32675+32971+32972,United States,2008
Honey Honey 2009,https://secondhandsongs.com/performance/481685/versions,Polly Browne,https://secondhandsongs.com/artist/100295,United Kingdom,2011
Mamma mia,https://secondhandsongs.com/performance/848208/versions,Bailey Rushlow,https://secondhandsongs.com/artist/129313,United States,2018
