Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Arrival,https://secondhandsongs.com/performance/88610/versions,Moog and Guitars,https://secondhandsongs.com/artist/184905,Australia,1976
Arrival,https://secondhandsongs.com/performance/889442/versions,Gottfried Böttger,https://secondhandsongs.com/artist/117862,Germany,1977
J'aime,https://secondhandsongs.com/performance/971085/versions,Jean-Claude Borelly,https://secondhandsongs.com/artist/62448,France,1977
Arrival,https://secondhandsongs.com/submission/143491,Christopher John and His Orchestra(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
Arrival,https://secondhandsongs.com/performance/1516721/versions,The Lowland Pipers,https://secondhandsongs.com/artist/206047,Belgium,1979
Arrival,https://secondhandsongs.com/performance/1825/versions,Mike Oldfield,https://secondhandsongs.com/artist/1031,United Kingdom,1980
Arrival,https://secondhandsongs.com/performance/549865/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
Arrival,https://secondhandsongs.com/performance/957833/versions,André Rieu and His Johann Strauss Orchestra,https://secondhandsongs.com/artist/42908,Netherlands,2013
Arrival,https://secondhandsongs.com/performance/851307/versions,Lasse Lindgren,https://secondhandsongs.com/artist/95657,Sweden,2015
Arrival,https://secondhandsongs.com/performance/1120798/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Vriendschap,https://secondhandsongs.com/performance/141839/versions,Bonnie & José,https://secondhandsongs.com/artist/30245+47204,Netherlands,1985
Time,https://secondhandsongs.com/performance/37807/versions,Frida & B.A. Robertson,https://secondhandsongs.com/artist/5531+8138,Sweden,1983
Arrival,https://secondhandsongs.com/performance/760830/versions,Sarah Brightman,https://secondhandsongs.com/artist/2252,United Kingdom,2008
Arrival,https://secondhandsongs.com/performance/163118/versions,Gregorian,https://secondhandsongs.com/artist/13380,Germany,2009
Arrival,https://secondhandsongs.com/performance/760360/versions,Magnus Carlsson [SE1],https://secondhandsongs.com/artist/108646,Sweden,2011
Arrival,https://secondhandsongs.com/performance/1191476/versions,Mr Tyzik,https://secondhandsongs.com/artist/184418,United States,2017
J'aime,https://secondhandsongs.com/performance/332134/versions,Michèle Torr,https://secondhandsongs.com/artist/26794,France,1977
J'aime,https://secondhandsongs.com/performance/1353800/versions,"Mario Cavallero, son orchestre et ses chanteurs",https://secondhandsongs.com/artist/154958,France,1978
La vallée,https://secondhandsongs.com/performance/715805/versions,Pétula Clark,https://secondhandsongs.com/artist/495,United Kingdom,1977
Belle,https://secondhandsongs.com/performance/1826/versions,Balavoine & Frida,https://secondhandsongs.com/artist/1033+5531,France,1983
