Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Money Money Money,https://secondhandsongs.com/performance/317233/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1976
Money Money Money,https://secondhandsongs.com/performance/489712/versions,Gro Anita,https://secondhandsongs.com/artist/69668,Norway,1976
Money Money Money,https://secondhandsongs.com/performance/872007/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1976
Money Money Money,https://secondhandsongs.com/performance/1353402/versions,"Mario Cavallero, son orchestre et ses chanteurs",https://secondhandsongs.com/artist/154958,France,1976
"Money, Money, Money",https://secondhandsongs.com/performance/1263456/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1977
Money Money Money,https://secondhandsongs.com/performance/1038956/versions,The Session Men(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
"Money, Money",https://secondhandsongs.com/performance/971109/versions,Jörgen Petersenin orkesteri ja kuoro,https://secondhandsongs.com/artist/86952,Denmark,1977
Money Money Money,https://secondhandsongs.com/performance/972127/versions,International Disco Band and Singers,https://secondhandsongs.com/artist/154963,France,1977
Money Money Money,https://secondhandsongs.com/performance/1530707/versions,[Disc Jockey Studio Artists](Robert Schröder),https://secondhandsongs.com/artist/118292,Germany,1977
Money Money Money,https://secondhandsongs.com/performance/278276/versions,The Nolan Sisters,https://secondhandsongs.com/artist/14575,Ireland,1978
Money Money Money,https://secondhandsongs.com/performance/1043434/versions,The Carnabees ‎,https://secondhandsongs.com/artist/172492,Germany,1979
(a) Money  Money Money (b) Summer Nights,https://secondhandsongs.com/performance/855964/versions,The King's Singers,https://secondhandsongs.com/artist/337,United Kingdom,1980
Stars on 45 - Voulez-Vous - S.O.S. - Bang a Boomerang - Money Money - Knowing Me Knowing You - Fern…,https://secondhandsongs.com/performance/600132/versions,Stars on 45,https://secondhandsongs.com/artist/39612,Netherlands,1981
Stars on 45 Vol.ll,https://secondhandsongs.com/performance/852892/versions,Sound Sensation(Chevron Studio Artists),https://secondhandsongs.com/artist/142016,United Kingdom,1981
