Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
"My Love, My Life",https://secondhandsongs.com/performance/53874/versions,ABBA,https://secondhandsongs.com/artist/119,Sweden,1976
"My Love, My Life",https://secondhandsongs.com/performance/1087941/versions,Ann Christy,https://secondhandsongs.com/artist/2907,Belgium,1977
"My Love, My Life",https://secondhandsongs.com/performance/1058477/versions,The Sessionmen(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1979
Like An Image Passing By,https://secondhandsongs.com/submission/267598,Elaine Paige,https://secondhandsongs.com/artist/1201,United Kingdom,1983
"My Love, My Life",https://secondhandsongs.com/performance/53878/versions,Bike,https://secondhandsongs.com/artist/24398,New Zealand,1995
"My Love, My Life",https://secondhandsongs.com/performance/344040/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,1996
Abba-potpurri,https://secondhandsongs.com/performance/452223/versions,Ladyshave,https://secondhandsongs.com/artist/97178,Sweden,1998
"My Love, My Life",https://secondhandsongs.com/submission/135536,"Villagers & John Grant (Villagers,John Grant)",https://secondhandsongs.com/artist/64781,Ireland,2013
"My Love, My Life",https://secondhandsongs.com/performance/721448/versions,"Lily James, Meryl Streep & Amanda Seyfried",https://secondhandsongs.com/artist/32674+32675+122459,United States,2018
"My Love, My Life",https://secondhandsongs.com/performance/1087300/versions,Mazz Murray,https://secondhandsongs.com/artist/176949,United Kingdom,2020
My Love My Life,https://secondhandsongs.com/performance/1342656/versions,New Zealand Army Band,https://secondhandsongs.com/artist/202738,New Zealand,1978
"My Love, My Life",https://secondhandsongs.com/performance/1037217/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,1985
"My Love, My Life",https://secondhandsongs.com/performance/928146/versions,Andy Findon,https://secondhandsongs.com/artist/161279,United Kingdom,2000
"Tider kommer, tider går",https://secondhandsongs.com/performance/544690/versions,Bjørn Spellmann,https://secondhandsongs.com/artist/106919,Norway,2004
"My Love, My Life",https://secondhandsongs.com/performance/614219/versions,Benny Andersson,https://secondhandsongs.com/artist/3170,Sweden,2017
"My Love, My Life",https://secondhandsongs.com/performance/1120792/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
In rook vergaan,https://secondhandsongs.com/performance/92603/versions,Ann Christy,https://secondhandsongs.com/artist/2907,Belgium,1976
In rook vergaan,https://secondhandsongs.com/performance/92808/versions,Free Souffriau,https://secondhandsongs.com/artist/31839,Belgium,2009
Tider kommer - tider går,https://secondhandsongs.com/performance/544686/versions,Inger Lise,https://secondhandsongs.com/artist/54795,Norway,1977
"Tider kommer, tider går",https://secondhandsongs.com/performance/544688/versions,Jannicke [NO],https://secondhandsongs.com/artist/105577,Norway,1994
Mitt liv min tid,https://secondhandsongs.com/performance/774817/versions,Agneta Jönsson,https://secondhandsongs.com/artist/140564,Sweden,1986
Ainut mulle oot,https://secondhandsongs.com/submission/181806,Monica Aspelund,https://secondhandsongs.com/artist/68450,Finland,1977
