Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Ring Ring,https://secondhandsongs.com/performance/537156/versions,Dubbelquartetten Frida,https://secondhandsongs.com/artist/107336,Sweden,1977
Ring Ring,https://secondhandsongs.com/performance/1183006/versions,Magnus Uggla,https://secondhandsongs.com/artist/84588,Sweden,1979
Ring Ring,https://secondhandsongs.com/performance/957325/versions,Perikles,https://secondhandsongs.com/artist/137029,Sweden,1992
Ring Ring,https://secondhandsongs.com/performance/549876/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
Abba-potpurri,https://secondhandsongs.com/performance/452223/versions,Ladyshave,https://secondhandsongs.com/artist/97178,Sweden,1998
Ring Ring,https://secondhandsongs.com/performance/687992/versions,"Helen Sjöholm, Karin Glenmark, Tommy Körberg, Anders Glenmark",https://secondhandsongs.com/artist/32534+37393+69679+114652,Sweden,1998
Ring Ring,https://secondhandsongs.com/performance/981796/versions,Östen med resten,https://secondhandsongs.com/artist/138675,Sweden,2001
Ring Ring,https://secondhandsongs.com/performance/130254/versions,Nico Gomez and His Top Orchestra,https://secondhandsongs.com/artist/44831,Belgium,1973
Ring Ring,https://secondhandsongs.com/performance/1070291/versions,Charles Segal,https://secondhandsongs.com/artist/175511,South Africa,1974
Ring Ring,https://secondhandsongs.com/performance/75227/versions,Arthur Greenslade & His Orchestra,https://secondhandsongs.com/artist/31594,United Kingdom,1975
"Ring, Ring",https://secondhandsongs.com/performance/88591/versions,Moog,https://secondhandsongs.com/artist/184905,Australia,1976
Ring Ring,https://secondhandsongs.com/performance/626239/versions,The Alan Tew Orchestra,https://secondhandsongs.com/artist/16341,United Kingdom,1977
Ring Ring,https://secondhandsongs.com/performance/547656/versions,Ingmar Nordströms,https://secondhandsongs.com/artist/63934,Sweden,1985
Ring Ring,https://secondhandsongs.com/performance/1037214/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,1985
Ring Ring,https://secondhandsongs.com/performance/568324/versions,Simons,https://secondhandsongs.com/artist/95851,Sweden,1992
Ring ring,https://secondhandsongs.com/performance/1488266/versions,Svenssons treooo,https://secondhandsongs.com/artist/220032,Sweden,2003
Ring Ring,https://secondhandsongs.com/performance/1240422/versions,Ralf Willing & His Multisound-Orchestra,https://secondhandsongs.com/artist/192398,Germany,2013
Ring Ring,https://secondhandsongs.com/performance/1120569/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Ring Ring,https://secondhandsongs.com/performance/814159/versions,Klaus & Servants,https://secondhandsongs.com/artist/66555,Denmark,1973
Ring Ring,https://secondhandsongs.com/performance/53872/versions,Björn & Benny Agnetha & Frida,https://secondhandsongs.com/artist/119,Sweden,1973
Ring Ring,https://secondhandsongs.com/performance/1035799/versions,The Dealians,https://secondhandsongs.com/artist/96461,South Africa,1973
Ring Ring,https://secondhandsongs.com/performance/865770/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1974
Ring Ring,https://secondhandsongs.com/performance/315967/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1974
Salute to ABBA,https://secondhandsongs.com/performance/367945/versions,Norman Gunston,https://secondhandsongs.com/artist/87458,Australia,1976
Ring Ring,https://secondhandsongs.com/performance/544507/versions,The Continental Group,https://secondhandsongs.com/artist/108370,Italy,1976
"Ring, Ring",https://secondhandsongs.com/performance/74718/versions,Nashville Train,https://secondhandsongs.com/artist/31456,Sweden,1977
Ring Ring,https://secondhandsongs.com/performance/1038949/versions,The Session Men(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
Ring Ring,https://secondhandsongs.com/performance/1496706/versions,Tina Arena,https://secondhandsongs.com/artist/5452,Australia,1977
Ring Ring,https://secondhandsongs.com/performance/309132/versions,Sator,https://secondhandsongs.com/artist/7592,Sweden,1992
ABBA Medley,https://secondhandsongs.com/performance/1140754/versions,Bhonus,https://secondhandsongs.com/artist/180434,Sweden,1992
Ring Ring,https://secondhandsongs.com/performance/53873/versions,Breast Secreting Cake,https://secondhandsongs.com/artist/24394,New Zealand,1995
ABBA Medley,https://secondhandsongs.com/performance/107369/versions,Finn Nørbygaard & Jette Torp,https://secondhandsongs.com/artist/38573+40187,Denmark,1995
