Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Happy New Year,https://secondhandsongs.com/performance/1114734/versions,A*Teens,https://secondhandsongs.com/artist/120,Sweden,1999
Happy New Year,https://secondhandsongs.com/performance/249222/versions,Lise Cabble,https://secondhandsongs.com/artist/65987,Denmark,2000
Happy New Year,https://secondhandsongs.com/performance/774865/versions,Mirah [DK],https://secondhandsongs.com/artist/92154,Denmark,2000
Happy New Year,https://secondhandsongs.com/performance/798753/versions,Avscvltate,https://secondhandsongs.com/artist/144003,Denmark,2001
"Wonderful Christmastime - Silent Night, Holy Night - When a Child is Born - Frosty the Snowman - Si…",https://secondhandsongs.com/performance/1300342/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2004
Happy New Year,https://secondhandsongs.com/performance/249500/versions,Simone [DK],https://secondhandsongs.com/artist/67718,Denmark,2005
Happy New Year,https://secondhandsongs.com/performance/1236034/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2005
Happy New Year,https://secondhandsongs.com/performance/774857/versions,Tarja,https://secondhandsongs.com/artist/55793,Finland,2006
Happy New Year,https://secondhandsongs.com/performance/1296563/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
Happy New Year,https://secondhandsongs.com/performance/1090634/versions,Thomas Meilstrup,https://secondhandsongs.com/artist/177207,Denmark,2014
Happy New Year,https://secondhandsongs.com/performance/1062004/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,2016
Happy New Year,https://secondhandsongs.com/performance/631064/versions,Kim Rysstad & London Philharmonic Orchestra,https://secondhandsongs.com/artist/38674+121323,Norway,2017
Happy New Year,https://secondhandsongs.com/performance/750489/versions,Selo i Ludy,https://secondhandsongs.com/artist/137555,Ukraine,2017
Happy New Year,https://secondhandsongs.com/performance/909767/versions,Molly Burch,https://secondhandsongs.com/artist/159014,United States,2019
Happy New Year,https://secondhandsongs.com/performance/1454368/versions,Sasha & Davy,https://secondhandsongs.com/artist/38158+55489,Netherlands,2019
Happy New Year,https://secondhandsongs.com/performance/1111790/versions,Anne Reburn,https://secondhandsongs.com/artist/178744,United States,2019
Happy New Year,https://secondhandsongs.com/performance/1375697/versions,LOVA,https://secondhandsongs.com/artist/207061,Sweden,2021
Happy New Year,https://secondhandsongs.com/performance/1388220/versions,Gabriella Quevedo,https://secondhandsongs.com/artist/179089,Sweden,2021
Happy New Year,https://secondhandsongs.com/performance/1037216/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,1985
Happy New Year,https://secondhandsongs.com/performance/769353/versions,Lars Roos,https://secondhandsongs.com/artist/41891,Sweden,1989
Happy New Year,https://secondhandsongs.com/performance/928173/versions,Andy Findon,https://secondhandsongs.com/artist/161279,United Kingdom,2000
Happy New Year,https://secondhandsongs.com/performance/614221/versions,Benny Andersson,https://secondhandsongs.com/artist/3170,Sweden,2017
Happy New Year,https://secondhandsongs.com/performance/1120813/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Happy New Year,https://secondhandsongs.com/performance/1282264/versions,Daniela Šinkorová,https://secondhandsongs.com/artist/153401,Slovakia,2006
Happy New Year,https://secondhandsongs.com/performance/1282265/versions,Magda Malá,https://secondhandsongs.com/artist/187296,Czech Republic,2014
Gelukkig Nieuwjaar,https://secondhandsongs.com/performance/641351/versions,Willeke Alberti,https://secondhandsongs.com/artist/25150,Netherlands,1991
Happy New Year,https://secondhandsongs.com/performance/774857/versions,Tarja,https://secondhandsongs.com/artist/55793,Finland,2006
