Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
One of Us,https://secondhandsongs.com/performance/852684/versions,Sound Sensation(Chevron Studio Artists),https://secondhandsongs.com/artist/142016,United Kingdom,1981
One of Us,https://secondhandsongs.com/performance/1527271/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1982
One of Us,https://secondhandsongs.com/performance/1299551/versions,Party Service Band,https://secondhandsongs.com/artist/90394,Germany,1982
One of Us,https://secondhandsongs.com/performance/1037245/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,1987
One of Us,https://secondhandsongs.com/performance/655665/versions,Véronique [CA](Véronique Béliveau),https://secondhandsongs.com/artist/97184,Canada,1989
One of Us,https://secondhandsongs.com/performance/539207/versions,The Flirtations [a cappella],https://secondhandsongs.com/artist/23460,United States,1992
One of Us,https://secondhandsongs.com/performance/610238/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1992
One of Us,https://secondhandsongs.com/performance/75213/versions,Go West,https://secondhandsongs.com/artist/13478,United Kingdom,1993
One of Us,https://secondhandsongs.com/performance/1162754/versions,The Deep Freeze Mice,https://secondhandsongs.com/artist/180295,United Kingdom,1995
One of Us,https://secondhandsongs.com/performance/344039/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,1996
One of Us,https://secondhandsongs.com/performance/769615/versions,Ulla-Britt Hasselvold,https://secondhandsongs.com/artist/139874,Norway,1996
One of Us,https://secondhandsongs.com/performance/1088494/versions,San Francisco Gay Men's Chorus with Nota Bene and Lollipop Guild,https://secondhandsongs.com/artist/126580,United States,1997
One of Us,https://secondhandsongs.com/performance/84931/versions,E-Rotic,https://secondhandsongs.com/artist/34580,Germany,1997
One of Us,https://secondhandsongs.com/performance/60109/versions,Dune & The London Session Orchestra,https://secondhandsongs.com/artist/26594,Germany,1998
One of Us,https://secondhandsongs.com/performance/195/versions,A*Teens,https://secondhandsongs.com/artist/120,Sweden,1999
One of Us,https://secondhandsongs.com/performance/112024/versions,Siobhan McCarthy,https://secondhandsongs.com/artist/41244,Ireland,1999
