Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
When All Is Said and Done,https://secondhandsongs.com/performance/344036/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,1996
When All Is Said and Done,https://secondhandsongs.com/performance/20522/versions,Nils Landgren Funk Unit,https://secondhandsongs.com/artist/12351,Sweden,2004
When All Is Said and Done,https://secondhandsongs.com/performance/77416/versions,Anne Sofie von Otter,https://secondhandsongs.com/artist/14331,Sweden,2006
When All Is Said and Done,https://secondhandsongs.com/performance/335128/versions,The Idea of North,https://secondhandsongs.com/artist/66494,Australia,2007
When All Is Said and Done,https://secondhandsongs.com/performance/79159/versions,Pierce Brosnan & Meryl Streep,https://secondhandsongs.com/artist/32674+32976,Ireland,2008
When All Is Said and Done,https://secondhandsongs.com/performance/1169055/versions,Kristjana Stefáns & Svavar Knútur,https://secondhandsongs.com/artist/178930+181538,Iceland,2011
When All Is Said and Done,https://secondhandsongs.com/performance/948758/versions,Adam Lopez,https://secondhandsongs.com/artist/163271,Australia,2014
When All Is Said and Done,https://secondhandsongs.com/performance/1285726/versions,Fridha Lundell,https://secondhandsongs.com/artist/197146,Sweden,2015
When All Is Said and Done,https://secondhandsongs.com/performance/803058/versions,Inger Marie Gundersen,https://secondhandsongs.com/artist/31427,Norway,2018
One of Us - When All Is Said And Done,https://secondhandsongs.com/performance/255486/versions,Paul Mauriat,https://secondhandsongs.com/artist/21587,France,1982
When All Is Said and Done,https://secondhandsongs.com/performance/1120614/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
