Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Chiquitita,https://secondhandsongs.com/performance/352060/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1979
Chiquitita,https://secondhandsongs.com/performance/1395314/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1979
Chiquitita,https://secondhandsongs.com/performance/641390/versions,Sharifah Aini,https://secondhandsongs.com/artist/122379,Malaysia,1979
Chiquitita,https://secondhandsongs.com/performance/838825/versions,Hans Edler,https://secondhandsongs.com/artist/62937,Sweden,1979
Chiquitita,https://secondhandsongs.com/performance/884502/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1979
Chiquitita,https://secondhandsongs.com/performance/1043435/versions,The Carnabees ‎,https://secondhandsongs.com/artist/172492,Germany,1979
Chiquitita,https://secondhandsongs.com/performance/1423998/versions,Caramelos,https://secondhandsongs.com/artist/213130,Spain,1979
Chiquitita,https://secondhandsongs.com/performance/663307/versions,Lea Salonga,https://secondhandsongs.com/artist/50744,Philippines,1982
"Chiquitita - Voulez-vous - S.O.S. - Bumerang - Money Money - Knowing Me, Knowing You - Fernando - T…",https://secondhandsongs.com/performance/794198/versions,G.E.S.,https://secondhandsongs.com/artist/143412,Germany,1987
Chiquitita,https://secondhandsongs.com/performance/549874/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
ABBA Medley,https://secondhandsongs.com/performance/107369/versions,Finn Nørbygaard & Jette Torp,https://secondhandsongs.com/artist/38573+40187,Denmark,1995
Chiquitita,https://secondhandsongs.com/performance/799657/versions,Wonderprick,https://secondhandsongs.com/artist/76010,Germany,1995
Chiquitita,https://secondhandsongs.com/performance/84929/versions,E-Rotic,https://secondhandsongs.com/artist/34580,Germany,1997
Chiquitita,https://secondhandsongs.com/performance/31569/versions,Sinéad O'Connor,https://secondhandsongs.com/artist/2218,Ireland,1999
Chiquitita,https://secondhandsongs.com/performance/112033/versions,"Louise Plowright, Jenny Galloway and Siobhan McCarthy",https://secondhandsongs.com/artist/41244+41245+41246,United Kingdom,1999
Chiquitita,https://secondhandsongs.com/performance/3998/versions,Stephen Gately,https://secondhandsongs.com/artist/1953,Ireland,1999
Chiquitita,https://secondhandsongs.com/performance/609991/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1999
Chiquitita,https://secondhandsongs.com/performance/687932/versions,Electric,https://secondhandsongs.com/artist/128370,Denmark,2000
Chiquitita,https://secondhandsongs.com/performance/31914/versions,Spiral Tower,https://secondhandsongs.com/artist/17092,Germany,2001
ABBA Medley,https://secondhandsongs.com/performance/6892/versions,Dana Winner,https://secondhandsongs.com/artist/3013,Belgium,2002
Chiquitita,https://secondhandsongs.com/performance/207359/versions,Lucy [Diakovska],https://secondhandsongs.com/artist/59763,Germany,2005
Chiquitita,https://secondhandsongs.com/performance/433935/versions,Rajaton with Lahti Symphony Orchestra,https://secondhandsongs.com/artist/57208+57209,Finland,2006
Chiquitita,https://secondhandsongs.com/performance/222508/versions,Wing,https://secondhandsongs.com/artist/62776,New Zealand,2006
Chiquitita,https://secondhandsongs.com/performance/449248/versions,Riff Raff,https://secondhandsongs.com/artist/96936,Germany,2006
Chiquitita,https://secondhandsongs.com/performance/1237271/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2006
Chiquitita,https://secondhandsongs.com/performance/1296541/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
Chiquitita,https://secondhandsongs.com/performance/500492/versions,Dennis [BNB],https://secondhandsongs.com/artist/124957,United States,2007
Chiquitita,https://secondhandsongs.com/performance/687920/versions,Avid All Stars,https://secondhandsongs.com/artist/54751,United Kingdom,2007
Chiquitita,https://secondhandsongs.com/performance/952315/versions,Black ABBA(Norma Lewis),https://secondhandsongs.com/artist/145408,United Kingdom,2008
Chiquitita / Does Your Mother Know / Knowing Me Knowing You / SOS / Fernando,https://secondhandsongs.com/performance/688473/versions,Ses Snare,https://secondhandsongs.com/artist/128487,South Africa,2009
Chiquitita,https://secondhandsongs.com/performance/1037095/versions,Amaia Montero,https://secondhandsongs.com/artist/172482,Spain,2010
Chiquitita,https://secondhandsongs.com/performance/881895/versions,Wade Baynham,https://secondhandsongs.com/artist/129117,United States,2017
Chiquitita,https://secondhandsongs.com/performance/789004/versions,Puddles Pity Party,https://secondhandsongs.com/artist/92118,United States,2017
Chiquitita,https://secondhandsongs.com/performance/745282/versions,Cher,https://secondhandsongs.com/artist/45,United States,2018
Chiquitita,https://secondhandsongs.com/performance/1087298/versions,Mazz Murray,https://secondhandsongs.com/artist/176949,United Kingdom,2020
Chiquitita,https://secondhandsongs.com/performance/1301135/versions,Scott & Ryceejo,https://secondhandsongs.com/artist/100339,United States,2021
Chiquitita,https://secondhandsongs.com/performance/1294389/versions,"Black Country, New Road",https://secondhandsongs.com/artist/198273,United Kingdom,2021
