Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Voulez-vous,https://secondhandsongs.com/performance/352388/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1979
Voulez-vous,https://secondhandsongs.com/performance/884828/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1979
Voulez-vous,https://secondhandsongs.com/performance/1331785/versions,"Christopher John, son orchestre et ses chanteurs [MFP]",https://secondhandsongs.com/artist/107640,United Kingdom,1979
Stars on 45 - Voulez-Vous - S.O.S. - Bang a Boomerang - Money Money - Knowing Me Knowing You - Fern…,https://secondhandsongs.com/performance/600132/versions,Stars on 45,https://secondhandsongs.com/artist/39612,Netherlands,1981
Stars on 45 Vol.ll,https://secondhandsongs.com/performance/852892/versions,Sound Sensation(Chevron Studio Artists),https://secondhandsongs.com/artist/142016,United Kingdom,1981
"Chiquitita - Voulez-vous - S.O.S. - Bumerang - Money Money - Knowing Me, Knowing You - Fernando - T…",https://secondhandsongs.com/performance/794198/versions,G.E.S.,https://secondhandsongs.com/artist/143412,Germany,1987
Voulez-vous,https://secondhandsongs.com/performance/65027/versions,HAM,https://secondhandsongs.com/artist/28267,Iceland,1989
Voulez vous,https://secondhandsongs.com/performance/31978/versions,Erasure,https://secondhandsongs.com/artist/440,United Kingdom,1992
Voulez-vous,https://secondhandsongs.com/performance/610360/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1996
Voulez vous,https://secondhandsongs.com/performance/1088518/versions,San Francisco Gay Men's Chorus with Nota Bene,https://secondhandsongs.com/artist/126580,United States,1997
Voulez vous / Lay All Your Love on Me,https://secondhandsongs.com/performance/549891/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1998
Voulez-vous,https://secondhandsongs.com/performance/198/versions,A*Teens,https://secondhandsongs.com/artist/120,Sweden,1999
Voulez-vous,https://secondhandsongs.com/performance/1337297/versions,"Lisa Stokke, Hilton McRae and Paul Clarkson",https://secondhandsongs.com/artist/41248+41249+41251,Norway,1999
Voulez vous,https://secondhandsongs.com/performance/3999/versions,Culture Club,https://secondhandsongs.com/artist/1954,United Kingdom,1999
Voulez vous,https://secondhandsongs.com/performance/687931/versions,Audio Science,https://secondhandsongs.com/artist/40815,Denmark,2000
Voulez-vous,https://secondhandsongs.com/performance/31911/versions,Morgana Lefay,https://secondhandsongs.com/artist/17091,Sweden,2001
Voulez vous,https://secondhandsongs.com/performance/718054/versions,The Monks of Moramanga,https://secondhandsongs.com/artist/144211,United Kingdom,2003
Voulez-vous,https://secondhandsongs.com/performance/533245/versions,Time Requiem,https://secondhandsongs.com/artist/106782,Sweden,2004
Voulez-vous,https://secondhandsongs.com/performance/20480/versions,Nils Landgren Funk Unit,https://secondhandsongs.com/artist/12351,Sweden,2004
Voulez-vous?,https://secondhandsongs.com/performance/500672/versions,Julie Forsyth,https://secondhandsongs.com/artist/46458,United Kingdom,2004
Voulez vous,https://secondhandsongs.com/performance/687945/versions,Blue System [Music Brokers],https://secondhandsongs.com/artist/125339,United Kingdom,2006
Voulez-vous,https://secondhandsongs.com/performance/433939/versions,Rajaton with Lahti Symphony Orchestra,https://secondhandsongs.com/artist/57208+57209,Finland,2006
Voulez Vous,https://secondhandsongs.com/performance/1296515/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
Voulez-vous,https://secondhandsongs.com/performance/687909/versions,Avid All Stars,https://secondhandsongs.com/artist/54751,United Kingdom,2007
Voulez-vous,https://secondhandsongs.com/performance/526810/versions,The Three Degrees,https://secondhandsongs.com/artist/444,United States,2009
Voulez-vous,https://secondhandsongs.com/performance/1208262/versions,Reinxeed,https://secondhandsongs.com/artist/63592,Sweden,2014
Voulez-vous,https://secondhandsongs.com/performance/227685,Franz Lambert an der Galaxis-Orgel,https://secondhandsongs.com/artist/61812,Germany,1979
Voulez-vous - Disco Pepito,https://secondhandsongs.com/performance/227689/versions,Die fidelen Limburger,https://secondhandsongs.com/artist/62998,Germany,1979
Voulez-vous,https://secondhandsongs.com/performance/257492/versions,Caravelli,https://secondhandsongs.com/artist/41436,France,1979
Voulez-vous,https://secondhandsongs.com/performance/176295/versions,Aimable son accordéon et son orchestre,https://secondhandsongs.com/artist/54357,France,1979
Hi-Lili-Hi-Lo - Voulez vous - Saragossa,https://secondhandsongs.com/performance/228032/versions,Horst Fröhlich,https://secondhandsongs.com/artist/63764,Germany,1980
Voulez-vous,https://secondhandsongs.com/performance/844379/versions,Babies & Kids,https://secondhandsongs.com/artist/104297,Argentina,2008
Voulez-vous,https://secondhandsongs.com/performance/851317/versions,Lasse Lindgren,https://secondhandsongs.com/artist/95657,Sweden,2015
Voulez-vous,https://secondhandsongs.com/performance/1116932/versions,Susan Holloway,https://secondhandsongs.com/artist/117211,United States,2018
Voulez-vous,https://secondhandsongs.com/performance/1120292/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Voulez-vous,https://secondhandsongs.com/performance/614467,Judith Nijland,https://secondhandsongs.com/artist/118919,Netherlands,2016
Voulez-vous,https://secondhandsongs.com/performance/808194,Ensemble [Mamma mia! Hamburg],https://secondhandsongs.com/artist/145341,Germany,2004
Voulez-vous,https://secondhandsongs.com/performance/884676,Λάκης Τζορντανέλι,https://secondhandsongs.com/artist/155661,Greece,1979
Voulez Vous,https://secondhandsongs.com/performance/963345,Menudo,https://secondhandsongs.com/artist/125028,Puerto Rico,1981
