Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
Waterloo,https://secondhandsongs.com/performance/1448709/versions,The Original Bimbo Star,https://secondhandsongs.com/artist/117389,Spain,1975
Destiny Suite [S.O.S. - Waterloo - S.O.S.],https://secondhandsongs.com/performance/1088503/versions,San Francisco Gay Men's Chorus,https://secondhandsongs.com/artist/126580,United States,1997
Waterloo,https://secondhandsongs.com/performance/180903/versions,Black Ingvars,https://secondhandsongs.com/artist/55247,Sweden,1998
Waterloo,https://secondhandsongs.com/performance/433933/versions,Rajaton with Lahti Symphony Orchestra,https://secondhandsongs.com/artist/57208+57209,Finland,2006
Waterloo,https://secondhandsongs.com/performance/257440/versions,Caravelli,https://secondhandsongs.com/artist/41436,France,1974
Waterloo,https://secondhandsongs.com/performance/383271/versions,Miguel Ramos y su órgano Hammond,https://secondhandsongs.com/artist/89772,Spain,1974
Waterloo - My Boy Lollipop - Honey Honey,https://secondhandsongs.com/performance/356477/versions,Hugo Strasser und sein Tanzorchester,https://secondhandsongs.com/artist/62366,Germany,1974
Waterloo,https://secondhandsongs.com/performance/750196/versions,Milo Pavlovic,https://secondhandsongs.com/artist/64320,Serbia,1974
Waterloo / You You You / The Wombling Song,https://secondhandsongs.com/performance/584813/versions,Joe Loss and His Orchestra,https://secondhandsongs.com/artist/39084,United Kingdom,1974
Waterloo,https://secondhandsongs.com/performance/589115/versions,Barry Kirsch,https://secondhandsongs.com/artist/115025,United Kingdom,1974
Waterloo,https://secondhandsongs.com/performance/75229/versions,Arthur Greenslade & His Orchestra,https://secondhandsongs.com/artist/31594,United Kingdom,1975
Waterloo,https://secondhandsongs.com/performance/88595/versions,Moog,https://secondhandsongs.com/artist/184905,Australia,1976
Waterloo,https://secondhandsongs.com/performance/626231/versions,The Alan Tew Orchestra,https://secondhandsongs.com/artist/16341,United Kingdom,1977
"I Do, I Do, I Do, I Do - Mamma Mia - Fernando - Honey, Honey - So Long - Waterloo - Nina, Pretty Ba…",https://secondhandsongs.com/performance/224158/versions,Alojz Bouda,https://secondhandsongs.com/artist/63073,Slovakia,1977
Waterloo,https://secondhandsongs.com/performance/972571/versions,Studio Musicians ‎,https://secondhandsongs.com/artist/165670,United Kingdom,1977
Waterloo,https://secondhandsongs.com/performance/970999/versions,Günter Noris und die Big Band der Bundeswehr,https://secondhandsongs.com/artist/64285+165512,Germany,1978
Waterloo - Hasta Manana - Money Money Money,https://secondhandsongs.com/performance/1247908/versions,Phil Kelsall,https://secondhandsongs.com/artist/193059,United Kingdom,1978
Waterloo,https://secondhandsongs.com/performance/1263409/versions,Toshio Mori & Blue Coats,https://secondhandsongs.com/artist/83995,Japan,1979
Waterloo,https://secondhandsongs.com/performance/1037213/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,1985
Waterloo,https://secondhandsongs.com/performance/241238/versions,Lars Roos,https://secondhandsongs.com/artist/41891,Sweden,1990
Waterloo,https://secondhandsongs.com/performance/933790/versions,The Munich Philharmonic Orchestra,https://secondhandsongs.com/artist/101335,Germany,1991
Waterloo,https://secondhandsongs.com/performance/568315/versions,Simons,https://secondhandsongs.com/artist/95851,Sweden,1992
Waterloo,https://secondhandsongs.com/performance/457722/versions,Richard Clayderman,https://secondhandsongs.com/artist/5331,France,1993
Waterloo,https://secondhandsongs.com/performance/795011/versions,Klaus Wunderlich,https://secondhandsongs.com/artist/10791,Germany,1994
Waterloo,https://secondhandsongs.com/performance/621029/versions,The Gary Tesca Orchestra,https://secondhandsongs.com/artist/831,Netherlands,1995
Waterloo,https://secondhandsongs.com/performance/495575/versions,Spectrum [US2],https://secondhandsongs.com/artist/830,United States,1996
Waterloo,https://secondhandsongs.com/performance/561534/versions,The Yuri Honing Trio,https://secondhandsongs.com/artist/110898,Netherlands,1996
Waterloo,https://secondhandsongs.com/performance/721699/versions,Motor Industries(CMH Studio Artists),https://secondhandsongs.com/artist/100232,United States,2001
Waterloo,https://secondhandsongs.com/performance/934329/versions,James Last,https://secondhandsongs.com/artist/7540,Germany,2001
Waterloo,https://secondhandsongs.com/performance/528675/versions,Sweet Little Band,https://secondhandsongs.com/artist/71051,Argentina,2007
Waterloo,https://secondhandsongs.com/performance/844380/versions,Babies & Kids,https://secondhandsongs.com/artist/104297,Argentina,2008
Waterloo,https://secondhandsongs.com/performance/1113267/versions,Yoga Pop Ups,https://secondhandsongs.com/artist/178865,United States,2011
Waterloo,https://secondhandsongs.com/performance/957831/versions,André Rieu and His Johann Strauss Orchestra,https://secondhandsongs.com/artist/42908,Netherlands,2013
Waterloo,https://secondhandsongs.com/performance/1137920/versions,Judson Mancebo,https://secondhandsongs.com/artist/180173,Brazil,2013
Scandinavian Invasion (An ABBA Tribute),https://secondhandsongs.com/performance/1008725/versions,Benaud Trio,https://secondhandsongs.com/artist/164903,Australia,2016
Waterloo,https://secondhandsongs.com/performance/806528/versions,Piano Dreamers,https://secondhandsongs.com/artist/128117,United States,2018
Waterloo,https://secondhandsongs.com/performance/819895/versions,Acoustic Heartstrings,https://secondhandsongs.com/artist/146787,United States,2018
Waterloo,https://secondhandsongs.com/performance/847934/versions,Midnite String Quartet,https://secondhandsongs.com/artist/122863,Italy,2019
Waterloo,https://secondhandsongs.com/performance/1120291/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Waterloo,https://secondhandsongs.com/performance/961784/versions,Elvira Voća,https://secondhandsongs.com/artist/48337,Yugoslavia,1974
Waterloo,https://secondhandsongs.com/performance/961994/versions,Miluška Voborníková,https://secondhandsongs.com/artist/115740,Czech Republic,1974
Waterloo,https://secondhandsongs.com/performance/289166/versions,Lecia & Lucienne,https://secondhandsongs.com/artist/37200,Denmark,1974
Waterloo,https://secondhandsongs.com/performance/756182/versions,Clear Sound,https://secondhandsongs.com/artist/138177,Denmark,1974
Waterloo,https://secondhandsongs.com/performance/967680/versions,Klaus & Servants,https://secondhandsongs.com/artist/66555,Denmark,1974
Waterloo,https://secondhandsongs.com/performance/315943/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1974
Waterloo,https://secondhandsongs.com/performance/883346/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1974
Waterloo,https://secondhandsongs.com/performance/353894/versions,The Air Mail - Orchester Udo Reichel,https://secondhandsongs.com/artist/54021+94364,Germany,1974
Waterloo,https://secondhandsongs.com/performance/199950/versions,The Wynners,https://secondhandsongs.com/artist/58434,Hong Kong,1974
Waterloo,https://secondhandsongs.com/performance/961975/versions,Christina [GR](Kristina Karali),https://secondhandsongs.com/artist/164623,Greece,1974
Waterloo,https://secondhandsongs.com/performance/970036/versions,Inger Lise,https://secondhandsongs.com/artist/54795,Norway,1974
Waterloo,https://secondhandsongs.com/performance/1291009/versions,"Christopher John, son orchestre et ses chanteurs",https://secondhandsongs.com/artist/63077,Norway,1974
Waterloo,https://secondhandsongs.com/performance/1384383/versions,Mario Cavallero son orchestre et ses chanteurs,https://secondhandsongs.com/artist/154958,France,1974
Salute to ABBA,https://secondhandsongs.com/performance/367945/versions,Norman Gunston,https://secondhandsongs.com/artist/87458,Australia,1976
Waterloo,https://secondhandsongs.com/performance/223409/versions,Orchester Udo Reichel & The Hiltonaires,https://secondhandsongs.com/artist/53910+54021,Germany,1976
Waterloo,https://secondhandsongs.com/performance/544505/versions,The Continental Group,https://secondhandsongs.com/artist/108370,Italy,1976
Waterloo,https://secondhandsongs.com/performance/74721/versions,Nashville Train,https://secondhandsongs.com/artist/31456,Sweden,1977
Waterloo,https://secondhandsongs.com/performance/1038955/versions,The Session Men(MFP Studio Artists),https://secondhandsongs.com/artist/107640,United Kingdom,1977
Waterloo,https://secondhandsongs.com/performance/1043436/versions,The Carnabees ‎,https://secondhandsongs.com/artist/172492,Germany,1979
Waterloo,https://secondhandsongs.com/performance/1255453/versions,St. Winifred's School Choir,https://secondhandsongs.com/artist/72445,United Kingdom,1980
"Abba Medley: Gimme! Gimme! Gimme! (A Man After Midnight) / Knowing Me, Knowing You / Super Trouper …",https://secondhandsongs.com/performance/595811/versions,Mini★Pops,https://secondhandsongs.com/artist/115940,United Kingdom,1981
Waterloo,https://secondhandsongs.com/performance/55752/versions,Doctor & The Medics with Roy Wood,https://secondhandsongs.com/artist/6168+6395,United Kingdom,1986
Waterloo,https://secondhandsongs.com/performance/566290/versions,Bradford City Football Club - The Winning Streak Band,https://secondhandsongs.com/artist/111674,United Kingdom,1987
Waterloo,https://secondhandsongs.com/performance/549866/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
Waterloo,https://secondhandsongs.com/performance/31919/versions,Nation,https://secondhandsongs.com/artist/17095,Sweden,1995
Waterloo,https://secondhandsongs.com/performance/501167/versions,Los Enemigos,https://secondhandsongs.com/artist/86068,Spain,1995
Waterloo,https://secondhandsongs.com/performance/799658/versions,Wonderprick,https://secondhandsongs.com/artist/76010,Germany,1995
Waterloo,https://secondhandsongs.com/performance/610503/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1996
Waterloo,https://secondhandsongs.com/performance/84935/versions,E-Rotic,https://secondhandsongs.com/artist/34580,Germany,1997
Waterloo,https://secondhandsongs.com/performance/209270/versions,Osmo's Cosmos,https://secondhandsongs.com/artist/39613,Finland,1997
Waterloo,https://secondhandsongs.com/performance/75324/versions,Bananarama,https://secondhandsongs.com/artist/6070,United Kingdom,1998
Waterloo,https://secondhandsongs.com/performance/292713/versions,Gabba,https://secondhandsongs.com/artist/10537,Sweden,1999
ABBA Medley,https://secondhandsongs.com/performance/1407839/versions,Patricia Lewis,https://secondhandsongs.com/artist/209851,South Africa,2000
Waterloo,https://secondhandsongs.com/performance/1369025/versions,Small Talk,https://secondhandsongs.com/artist/194125,Denmark,2001
Waterloo,https://secondhandsongs.com/performance/718057/versions,The Monks of Moramanga,https://secondhandsongs.com/artist/144211,United Kingdom,2003
Waterloo,https://secondhandsongs.com/performance/500673/versions,"Michelle Hardwick, Vickie Gates, Will Mellor, Lee Otway",https://secondhandsongs.com/artist/96450+102233+102234+102235,United Kingdom,2004
Waterloo,https://secondhandsongs.com/performance/725150/versions,Pamela McNeill,https://secondhandsongs.com/artist/133807,United States,2004
Abba Medley,https://secondhandsongs.com/performance/475070/versions,The Dan Band,https://secondhandsongs.com/artist/23876,United States,2005
Waterloo,https://secondhandsongs.com/performance/981283/versions,Carola & Marit Bergman,https://secondhandsongs.com/artist/16783+82731,Sweden,2005
Waterloo,https://secondhandsongs.com/performance/207369/versions,Banaroo,https://secondhandsongs.com/artist/59770,Germany,2005
Waterloo,https://secondhandsongs.com/performance/449250/versions,Riff Raff,https://secondhandsongs.com/artist/96936,Germany,2006
Waterloo,https://secondhandsongs.com/performance/1237276/versions,Cotton Club Singers,https://secondhandsongs.com/artist/158758,Hungary,2006
Waterloo,https://secondhandsongs.com/performance/1296546/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
Abba Megamix,https://secondhandsongs.com/performance/1296554/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
Waterloo,https://secondhandsongs.com/performance/687911/versions,Avid All Stars,https://secondhandsongs.com/artist/54751,United Kingdom,2007
Waterloo,https://secondhandsongs.com/performance/500497/versions,Brandy [BNB],https://secondhandsongs.com/artist/124957,United States,2007
Waterloo,https://secondhandsongs.com/performance/1140124/versions,Kaapo & Zetor,https://secondhandsongs.com/artist/180398,Finland,2007
