Title,Album,ReleaseDate,CoveredNumber,CoverData
He Is Your Brother,Ring Ring,1972,6,heisyourbrother1972.csv
People Need Love,Ring Ring,1972,8,peopleneedlove1972.csv
"Another Town, Another Train",Ring Ring,1973,3,anothertownanothertrain1973.csv
Disillusion,Ring Ring,1973,1,disillusion1973.csv
Me and Bobby and Bobby's Brother,Ring Ring,1973,1,meandbobbyandbobbysbrother1973.csv
"Nina, Pretty Ballerina",Ring Ring,1973,9,ninaprettyballerina1973.csv
Ring Ring,Ring Ring,1973,45,ringring1973.csv
Dance,Waterloo,1974,9,dance1974.csv
Hasta mañana,Waterloo,1974,39,hastamanana1974.csv
"Honey, Honey",Waterloo,1974,53,honeyhoney1974.csv
King Kong Song,Waterloo,1974,2,kingkongsong1974.csv
My Mama Said,Waterloo,1974,2,mymamasaid1974.csv
Sitting in the Palmtree,Waterloo,1974,2,sittinginthepalmtree1974.csv
Suzy-Hang-Around,Waterloo,1974,2,suzyhangaround1974.csv
Waterloo,Waterloo,1974,116,waterloo1974.csv
What About Livingstone,Waterloo,1974,4,whataboutlivingstone1974.csv
I've Been Waiting for You,ABBA,1974,16,ivebeenwaitingforyou1974.csv
So Long,ABBA,1974,17,solong1974.csv
"Hey, Hey Helen",ABBA,1975,2,heyheyhelen1975.csv
"I Do, I Do, I Do, I Do, I Do",ABBA,1975,42,idoidoidoidoido1975.csv
Intermezzo Nr. 1,ABBA,1975,1,intermezzonr11975.csv
Mamma mia,ABBA,1975,121,mammamia1975.csv
Man in the Middle,ABBA,1975,1,maninthemiddle1975.csv
Rock Me,ABBA,1975,12,rockme1975.csv
SOS,ABBA,1975,121,sos1975.csv
Tropical Loveland,ABBA,1975,2,tropicalloveland1975.csv
Arrival,Arrival,1976,20,arrival1976.csv
Dancing Queen,Arrival,1976,210,dancingqueen1976.csv
Dum Dum Diddle,Arrival,1976,5,dumdumdiddle1976.csv
"Knowing Me, Knowing You",Arrival,1976,86,knowingmeknowingyou1976.csv
"Money, Money, Money",Arrival,1976,96,moneymoneymoney1976.csv
"My Love, My Life",Arrival,1976,22,mylovemylife1976.csv
That's Me,Arrival,1976,3,thatsme1976.csv
Tiger,Arrival,1976,5,tiger1976.csv
When I Kissed the Teacher,Arrival,1976,17,whenikissedtheteacher1976.csv
Why Did It Have to Be Me,Arrival,1976,17,whydidithavetobeme1976.csv
Eagle,The Album,1977,15,eagle1977.csv
Hole in Your Soul,The Album,1977,1,holeinyoursoul1977.csv
I Wonder,The Album,1977,10,iwonder1977.csv
I'm a Marionette,The Album,1977,4,imamarionette1977.csv
Move On,The Album,1977,3,moveon1977.csv
"One Man, One Woman",The Album,1977,7,onemanonewoman1977.csv
Take a Chance on Me,The Album,1977,76,takeachanceonme1977.csv
Thank You for the Music,The Album,1977,77,thankyouforthemusic1977.csv
The Name of the Game,The Album,1977,34,thenameofthegame1977.csv
Summer Night City,Voulez-Vous,1978,19,summernightcity1978.csv
Angeleyes,Voulez-Vous,1979,9,angeleyes1979.csv
As Good as New,Voulez-Vous,1979,1,asgoodasnew1979.csv
Chiquitita,Voulez-Vous,1979,82,chiquitita1979.csv
Does Your Mother Know,Voulez-Vous,1979,56,doesyourmotherknow1979.csv
Gimme! Gimme! Gimme!,Voulez-Vous,1979,74,gimmegimmegimme1979.csv
I Have a Dream,Voulez-Vous,1979,81,ihaveadream1979.csv
If It Wasn't for the Nights,Voulez-Vous,1979,3,ifitwasntforthenights1979.csv
Lovelight,Voulez-Vous,1979,1,lovelight1979.csv
Lovers ,Voulez-Vous,1979,3,lovers1979.csv
The King Has Lost His Crown,Voulez-Vous,1979,2,thekinghaslosthiscrown1979.csv
Voulez-vous,Voulez-Vous,1979,39,voulezvous1979.csv
Happy New Year,Super Trouper,1980,27,happynewyear1980.csv
Lay All Your Love on Me,Super Trouper,1980,54,layallyourloveonme1980.csv
On and on and On,Super Trouper,1980,9,onandonandon1980.csv
Our Last Summer,Super Trouper,1980,7,ourlastsummer1980.csv
Super Trouper,Super Trouper,1980,66,supertrouper1980.csv
The Piper,Super Trouper,1980,3,thepiper1980.csv
The Way Old Friends Do,Super Trouper,1980,23,thewayoldfriendsdo1980.csv
The Winner Takes It All,Super Trouper,1980,186,thewinnertakesitall1980.csv
Head Over Heels,The Visitors,1981,7,headoverheels1981.csv
I Let the Music Speak,The Visitors,1981,5,iletthemusicspeak1981.csv
Like an Angel Passing Through My Room,The Visitors,1981,10,likeanangelpassingthroughmyroom1981.csv
One of Us,The Visitors,1981,44,oneofus1981.csv
Slipping Through My Fingers,The Visitors,1981,13,slippingthroughmyfingers1981.csv
Soldiers,The Visitors,1981,3,soldiers1981.csv
The Visitors,The Visitors,1981,7,thevisitors1981.csv
When All Is Said and Done,The Visitors,1981,11,whenallissaidanddone1981.csv
Cassandra,The Visitors,1982,1,cassandra1982.csv
The Day Before You Came,The Visitors,1982,20,thedaybeforeyoucame1982.csv
Under Attack,The Visitors,1982,3,underattack1982.csv
